"participant","set","activity","x","y","timestamp"
"P03","B","DEBUG",186,347,0
"P03","B","DEBUG",199,349,25
"P03","B","DEBUG",213,347,57
"P03","B","DEBUG",206,337,90
"P03","B","DEBUG",198,350,124
"P03","B","DEBUG",204,338,158
"P03","B","DEBUG",213,354,192
"P03","B","DEBUG",206,336,227
"P03","B","DEBUG",216,346,261
"P03","B","DEBUG",205,326,296
"P03","B","DEBUG",185,167,331
"P03","B","DEBUG",182,146,366
"P03","B","DEBUG",182,138,402
"P03","B","DEBUG",174,149,437
"P03","B","DEBUG",172,154,473
"P03","B","DEBUG",190,154,508
"P03","B","DEBUG",480,98,546
"P03","B","DEBUG",646,89,583
"P03","B","DEBUG",647,90,616
"P03","B","DEBUG",652,91,651
"P03","B","DEBUG",651,88,686
"P03","B","DEBUG",655,90,721
"P03","B","DEBUG",643,6,756
"P03","B","DEBUG",644,88,791
"P03","B","DEBUG",614,105,826
"P03","B","DEBUG",597,30,861
"P03","B","DEBUG",596,156,896
"P03","B","DEBUG",610,112,930
"P03","B","DEBUG",615,106,963
"P03","B","DEBUG",613,96,997
"P03","B","DEBUG",358,39,1032
"P03","B","DEBUG",250,121,1066
"P03","B","DEBUG",247,116,1106
"P03","B","DEBUG",223,106,1142
"P03","B","DEBUG",244,128,1177
"P03","B","DEBUG",231,116,1212
"P03","B","DEBUG",224,94,1248
"P03","B","DEBUG",221,116,1284
"P03","B","DEBUG",245,113,1320
"P03","B","DEBUG",179,-33,1357
"P03","B","DEBUG",178,110,1393
"P03","B","DEBUG",182,109,1428
"P03","B","DEBUG",174,97,1463
"P03","B","DEBUG",170,94,1499
"P03","B","DEBUG",185,99,1534
"P03","B","DEBUG",173,109,1570
"P03","B","DEBUG",184,99,1606
"P03","B","DEBUG",180,101,1641
"P03","B","DEBUG",176,102,1682
"P03","B","DEBUG",186,96,1720
"P03","B","DEBUG",170,95,1756
"P03","B","DEBUG",184,94,1792
"P03","B","DEBUG",262,105,1828
"P03","B","DEBUG",239,102,1865
"P03","B","DEBUG",254,96,1901
"P03","B","DEBUG",253,90,1937
"P03","B","DEBUG",251,103,1976
"P03","B","DEBUG",219,101,2013
"P03","B","DEBUG",291,98,2051
