"participant","set","activity","x","y","timestamp"
"P05","A","WRITE",676,447,0
"P05","A","WRITE",566,422,38
"P05","A","WRITE",564,436,73
"P05","A","WRITE",564,445,108
"P05","A","WRITE",563,440,143
"P05","A","WRITE",560,441,177
"P05","A","WRITE",279,508,211
"P05","A","WRITE",253,513,245
"P05","A","WRITE",264,524,280
"P05","A","WRITE",260,504,314
"P05","A","WRITE",263,519,347
"P05","A","WRITE",270,521,381
"P05","A","WRITE",224,439,414
"P05","A","WRITE",238,381,447
"P05","A","WRITE",218,368,480
"P05","A","WRITE",231,366,513
"P05","A","WRITE",234,379,547
"P05","A","WRITE",221,363,585
"P05","A","WRITE",230,373,621
"P05","A","WRITE",252,372,655
"P05","A","WRITE",295,382,688
"P05","A","WRITE",281,364,721
"P05","A","WRITE",303,376,753
"P05","A","WRITE",296,378,786
"P05","A","WRITE",292,375,819
"P05","A","WRITE",295,381,852
"P05","A","WRITE",292,373,885
"P05","A","WRITE",298,379,920
"P05","A","WRITE",359,362,954
"P05","A","WRITE",364,356,988
"P05","A","WRITE",362,349,1021
"P05","A","WRITE",358,356,1055
"P05","A","WRITE",369,367,1089
"P05","A","WRITE",376,359,1128
"P05","A","WRITE",340,382,1164
"P05","A","WRITE",303,441,1200
"P05","A","WRITE",290,439,1233
"P05","A","WRITE",295,438,1269
"P05","A","WRITE",306,448,1303
"P05","A","WRITE",288,426,1337
"P05","A","WRITE",295,447,1370
"P05","A","WRITE",293,443,1403
"P05","A","WRITE",291,429,1436
"P05","A","WRITE",300,449,1469
"P05","A","WRITE",307,445,1502
"P05","A","WRITE",319,417,1535
"P05","A","WRITE",318,443,1568
"P05","A","WRITE",310,428,1601
"P05","A","WRITE",312,434,1636
"P05","A","WRITE",313,436,1676
"P05","A","WRITE",312,425,1712
"P05","A","WRITE",315,418,1748
"P05","A","WRITE",388,414,1783
"P05","A","WRITE",378,409,1818
"P05","A","WRITE",396,415,1852
"P05","A","WRITE",392,418,1886
"P05","A","WRITE",391,424,1920
"P05","A","WRITE",388,418,1953
"P05","A","WRITE",398,433,1986
"P05","A","WRITE",263,512,2019
"P05","A","WRITE",271,517,2052
"P05","A","WRITE",274,514,2087
"P05","A","WRITE",264,521,2121
"P05","A","WRITE",268,533,2155
"P05","A","WRITE",272,512,2189
"P05","A","WRITE",258,527,2228
"P05","A","WRITE",247,520,2264
"P05","A","WRITE",242,527,2299
"P05","A","WRITE",244,531,2333
"P05","A","WRITE",248,529,2367
"P05","A","WRITE",243,522,2401
"P05","A","WRITE",242,529,2435
"P05","A","WRITE",254,523,2470
"P05","A","WRITE",244,531,2505
"P05","A","WRITE",214,541,2539
"P05","A","WRITE",208,541,2574
"P05","A","WRITE",215,529,2611
"P05","A","WRITE",211,538,2646
"P05","A","WRITE",217,536,2682
"P05","A","WRITE",207,530,2718
"P05","A","WRITE",209,535,2753
"P05","A","WRITE",225,395,2793
"P05","A","WRITE",220,345,2830
"P05","A","WRITE",214,355,2865
"P05","A","WRITE",217,349,2900
"P05","A","WRITE",223,347,2935
"P05","A","WRITE",213,353,2971
"P05","A","WRITE",216,358,3007
"P05","A","WRITE",333,396,3044
"P05","A","WRITE",346,385,3079
"P05","A","WRITE",330,366,3113
"P05","A","WRITE",326,372,3149
"P05","A","WRITE",333,368,3184
"P05","A","WRITE",332,368,3220
"P05","A","WRITE",318,369,3257
"P05","A","WRITE",297,377,3293
"P05","A","WRITE",301,363,3329
"P05","A","WRITE",313,373,3368
"P05","A","WRITE",314,371,3405
"P05","A","WRITE",312,376,3440
"P05","A","WRITE",244,497,3475
"P05","A","WRITE",244,547,3510
"P05","A","WRITE",236,540,3545
"P05","A","WRITE",232,522,3580
"P05","A","WRITE",242,555,3615
"P05","A","WRITE",240,548,3650
"P05","A","WRITE",240,534,3687
"P05","A","WRITE",226,558,3723
"P05","A","WRITE",213,542,3759
"P05","A","WRITE",218,552,3794
"P05","A","WRITE",214,559,3830
"P05","A","WRITE",215,550,3866
"P05","A","WRITE",224,556,3902
"P05","A","WRITE",225,551,3942
"P05","A","WRITE",213,551,3980
"P05","A","WRITE",220,553,4034
"P05","A","WRITE",220,558,4121
"P05","A","WRITE",225,552,4233
"P05","A","WRITE",208,549,4358
"P05","A","WRITE",213,556,4425
"P05","A","WRITE",211,548,4478
"P05","A","WRITE",210,547,4520
"P05","A","WRITE",237,524,4556
"P05","A","WRITE",186,375,4592
