participant,set,activity,x,y,timestamp
P08,A,WRITE,896,502,0
P08,A,WRITE,1737,113,44
P08,A,WRITE,1601,440,86
P08,A,WRITE,1589,432,130
P08,A,WRITE,1580,444,167
P08,A,WRITE,1547,451,207
P08,A,WRITE,1573,455,244
P08,A,WRITE,1558,452,290
P08,A,WRITE,1618,467,325
P08,A,WRITE,1631,503,364
P08,A,WRITE,1614,521,402
P08,A,WRITE,1629,524,443
P08,A,WRITE,1638,488,487
P08,A,WRITE,1624,514,528
P08,A,WRITE,1646,499,565
P08,A,WRITE,1631,505,604
P08,A,WRITE,1647,493,639
P08,A,WRITE,1674,475,678
P08,A,WRITE,1659,488,719
P08,A,WRITE,1639,483,759
P08,A,WRITE,1648,494,801
P08,A,WRITE,1644,489,847
P08,A,WRITE,1659,492,887
P08,A,WRITE,1626,503,928
P08,A,WRITE,1658,497,970
P08,A,WRITE,1670,485,1016
P08,A,WRITE,1643,488,1053
P08,A,WRITE,1667,467,1092
P08,A,WRITE,1623,473,1135
P08,A,WRITE,1657,481,1160
P08,A,WRITE,1653,477,1192
P08,A,WRITE,1669,475,1229
P08,A,WRITE,1660,476,1271
P08,A,WRITE,1657,478,1311
P08,A,WRITE,1657,498,1354
P08,A,WRITE,1649,500,1379
P08,A,WRITE,1668,489,1422
P08,A,WRITE,1666,487,1463
P08,A,WRITE,1660,493,1505
P08,A,WRITE,1676,482,1546
P08,A,WRITE,1669,492,1589
P08,A,WRITE,1651,488,1625
P08,A,WRITE,1644,485,1665
P08,A,WRITE,1657,502,1705
P08,A,WRITE,1663,481,1747
P08,A,WRITE,1660,497,1788
P08,A,WRITE,1648,491,1827
P08,A,WRITE,1675,478,1874
P08,A,WRITE,1674,479,1917
P08,A,WRITE,1651,496,1953
P08,A,WRITE,1658,509,1990
P08,A,WRITE,1185,471,2032
P08,A,WRITE,591,490,2076
P08,A,WRITE,526,492,2124
P08,A,WRITE,544,495,2160
P08,A,WRITE,535,486,2201
P08,A,WRITE,514,489,2244
P08,A,WRITE,328,456,2287
P08,A,WRITE,353,469,2328
P08,A,WRITE,350,449,2369
P08,A,WRITE,360,446,2418
P08,A,WRITE,297,419,2461
P08,A,WRITE,301,410,2497
P08,A,WRITE,302,418,2537
P08,A,WRITE,302,423,2578
P08,A,WRITE,301,413,2624
P08,A,WRITE,309,416,2670
P08,A,WRITE,308,425,2695
P08,A,WRITE,262,414,2730
P08,A,WRITE,256,403,2774
P08,A,WRITE,260,411,2817
P08,A,WRITE,259,414,2861
P08,A,WRITE,253,404,2896
P08,A,WRITE,259,409,2938
P08,A,WRITE,254,398,2973
P08,A,WRITE,262,363,3018
P08,A,WRITE,266,396,3054
P08,A,WRITE,273,389,3089
P08,A,WRITE,262,384,3130
P08,A,WRITE,273,373,3170
P08,A,WRITE,371,390,3209
P08,A,WRITE,380,393,3244
P08,A,WRITE,378,391,3282
P08,A,WRITE,381,392,3321
P08,A,WRITE,378,390,3359
P08,A,WRITE,421,384,3403
P08,A,WRITE,437,393,3442
P08,A,WRITE,434,394,3476
P08,A,WRITE,355,339,3516
P08,A,WRITE,274,264,3557
P08,A,WRITE,289,262,3598
P08,A,WRITE,274,273,3638
P08,A,WRITE,273,260,3671
P08,A,WRITE,281,266,3710
P08,A,WRITE,308,267,3744
P08,A,WRITE,302,267,3778
P08,A,WRITE,300,281,3812
P08,A,WRITE,406,284,3846
P08,A,WRITE,406,283,3887
P08,A,WRITE,402,290,3921
P08,A,WRITE,408,279,3957
P08,A,WRITE,403,301,4001
P08,A,WRITE,412,282,4038
P08,A,WRITE,417,288,4079
P08,A,WRITE,398,284,4117
P08,A,WRITE,329,272,4156
P08,A,WRITE,318,287,4192
P08,A,WRITE,327,278,4227
P08,A,WRITE,316,291,4268
P08,A,WRITE,317,280,4303
P08,A,WRITE,352,290,4344
P08,A,WRITE,385,279,4379
P08,A,WRITE,380,293,4419
P08,A,WRITE,337,268,4452
P08,A,WRITE,282,248,4492
P08,A,WRITE,267,249,4528
P08,A,WRITE,280,258,4568
P08,A,WRITE,287,249,4609
P08,A,WRITE,277,244,4649
P08,A,WRITE,275,245,4684
P08,A,WRITE,283,257,4721
P08,A,WRITE,269,262,4756
P08,A,WRITE,277,268,4796
P08,A,WRITE,271,334,4836
P08,A,WRITE,271,350,4876
P08,A,WRITE,272,343,4910
P08,A,WRITE,271,343,4952
P08,A,WRITE,283,348,4992
P08,A,WRITE,272,332,5033
P08,A,WRITE,272,337,5073
P08,A,WRITE,284,357,5113
P08,A,WRITE,301,403,5158
P08,A,WRITE,297,384,5199
P08,A,WRITE,297,404,5242
P08,A,WRITE,297,412,5279
P08,A,WRITE,386,400,5323
P08,A,WRITE,387,396,5364
P08,A,WRITE,398,390,5404
P08,A,WRITE,385,403,5438
P08,A,WRITE,379,399,5473
P08,A,WRITE,426,391,5514
P08,A,WRITE,424,407,5554
P08,A,WRITE,430,401,5590
P08,A,WRITE,429,405,5633
P08,A,WRITE,427,402,5669
P08,A,WRITE,467,388,5716
P08,A,WRITE,502,403,5759
P08,A,WRITE,506,398,5798
P08,A,WRITE,506,401,5840
P08,A,WRITE,508,407,5876
P08,A,WRITE,508,405,5912
P08,A,WRITE,511,414,5948
P08,A,WRITE,507,409,5984
P08,A,WRITE,545,406,6020
P08,A,WRITE,572,410,6056
P08,A,WRITE,584,401,6092
P08,A,WRITE,578,409,6132
P08,A,WRITE,576,406,6167
P08,A,WRITE,566,412,6209
P08,A,WRITE,580,412,6244
P08,A,WRITE,579,415,6290
P08,A,WRITE,581,404,6326
P08,A,WRITE,575,405,6370
P08,A,WRITE,572,409,6408
P08,A,WRITE,578,409,6450
P08,A,WRITE,521,354,6496
P08,A,WRITE,514,364,6538
P08,A,WRITE,513,366,6573
P08,A,WRITE,515,351,6618
P08,A,WRITE,519,362,6660
P08,A,WRITE,489,370,6695
P08,A,WRITE,320,376,6750
P08,A,WRITE,324,354,6891
P08,A,WRITE,285,360,7023
P08,A,WRITE,299,359,7136
P08,A,WRITE,333,354,7184
P08,A,WRITE,337,350,7230
P08,A,WRITE,334,331,7272
P08,A,WRITE,335,333,7314
P08,A,WRITE,472,340,7350
P08,A,WRITE,478,335,7387
P08,A,WRITE,474,339,7422
P08,A,WRITE,473,338,7457
P08,A,WRITE,482,342,7497
P08,A,WRITE,499,344,7533
P08,A,WRITE,521,347,7568
P08,A,WRITE,518,345,7604
P08,A,WRITE,525,346,7639
P08,A,WRITE,514,342,7677
P08,A,WRITE,523,341,7713
P08,A,WRITE,525,349,7752
P08,A,WRITE,524,341,7787
P08,A,WRITE,491,349,7822
P08,A,WRITE,489,353,7857
P08,A,WRITE,498,349,7893
P08,A,WRITE,495,346,7937
P08,A,WRITE,502,352,7978
P08,A,WRITE,491,345,8013
P08,A,WRITE,503,349,8055
P08,A,WRITE,491,350,8093
P08,A,WRITE,494,352,8130
P08,A,WRITE,491,352,8164
P08,A,WRITE,501,343,8205
P08,A,WRITE,496,353,8244
P08,A,WRITE,501,349,8281
P08,A,WRITE,505,348,8317
P08,A,WRITE,505,350,8358
P08,A,WRITE,451,410,8394
P08,A,WRITE,451,414,8435
P08,A,WRITE,447,400,8472
P08,A,WRITE,446,421,8510
P08,A,WRITE,449,407,8546
P08,A,WRITE,399,408,8589
P08,A,WRITE,411,422,8630
P08,A,WRITE,414,430,8669
P08,A,WRITE,403,404,8713
P08,A,WRITE,307,430,8756
P08,A,WRITE,290,430,8783
P08,A,WRITE,307,421,8824
P08,A,WRITE,306,398,8872
P08,A,WRITE,304,419,8915
P08,A,WRITE,257,414,8957
P08,A,WRITE,256,414,9001
P08,A,WRITE,255,407,9045
P08,A,WRITE,255,396,9082
P08,A,WRITE,253,405,9118
P08,A,WRITE,256,422,9155
P08,A,WRITE,323,404,9202
P08,A,WRITE,319,397,9246
P08,A,WRITE,315,423,9281
P08,A,WRITE,317,421,9319
P08,A,WRITE,317,405,9367
P08,A,WRITE,354,531,9413
P08,A,WRITE,417,669,9519
P08,A,WRITE,372,437,9552
P08,A,WRITE,320,481,9622
P08,A,WRITE,325,478,9645
P08,A,WRITE,304,476,9685
P08,A,WRITE,310,478,9720
P08,A,WRITE,311,477,9746
P08,A,WRITE,307,471,9776
P08,A,WRITE,315,466,9814
P08,A,WRITE,360,470,9855
P08,A,WRITE,423,452,9892
P08,A,WRITE,421,468,9934
P08,A,WRITE,432,455,9974
P08,A,WRITE,430,484,10017
P08,A,WRITE,428,474,10052
P08,A,WRITE,479,323,10095
P08,A,WRITE,468,340,10137
P08,A,WRITE,471,333,10172
P08,A,WRITE,464,342,10207
P08,A,WRITE,471,349,10242
P08,A,WRITE,462,328,10278
P08,A,WRITE,497,355,10313
P08,A,WRITE,498,354,10352
P08,A,WRITE,499,351,10390
P08,A,WRITE,495,357,10430
P08,A,WRITE,523,352,10465
P08,A,WRITE,521,338,10505
P08,A,WRITE,512,349,10544
P08,A,WRITE,525,343,10579
P08,A,WRITE,523,331,10619
P08,A,WRITE,523,346,10654
P08,A,WRITE,517,347,10689
P08,A,WRITE,554,349,10724
P08,A,WRITE,556,347,10760
P08,A,WRITE,550,342,10795
P08,A,WRITE,549,346,10837
P08,A,WRITE,554,356,10873
P08,A,WRITE,552,338,10914
P08,A,WRITE,597,348,10951
P08,A,WRITE,593,350,10986
P08,A,WRITE,603,351,11023
P08,A,WRITE,599,336,11060
P08,A,WRITE,591,331,11100
P08,A,WRITE,605,347,11137
P08,A,WRITE,566,343,11174
P08,A,WRITE,560,334,11210
P08,A,WRITE,563,336,11245
P08,A,WRITE,570,351,11279
P08,A,WRITE,575,344,11314
P08,A,WRITE,575,339,11349
P08,A,WRITE,566,354,11384
P08,A,WRITE,537,336,11420
P08,A,WRITE,537,341,11467
P08,A,WRITE,536,346,11504
P08,A,WRITE,544,346,11539
P08,A,WRITE,534,342,11573
P08,A,WRITE,548,345,11608
P08,A,WRITE,542,346,11642
P08,A,WRITE,547,347,11680
P08,A,WRITE,509,352,11715
P08,A,WRITE,499,361,11751
P08,A,WRITE,506,358,11786
P08,A,WRITE,503,357,11827
P08,A,WRITE,503,366,11862
P08,A,WRITE,507,366,11896
P08,A,WRITE,295,369,11937
P08,A,WRITE,298,376,11976
P08,A,WRITE,286,362,12012
P08,A,WRITE,292,376,12058
P08,A,WRITE,294,377,12094
P08,A,WRITE,287,369,12130
P08,A,WRITE,280,373,12172
P08,A,WRITE,276,365,12214
P08,A,WRITE,277,358,12257
P08,A,WRITE,359,380,12294
P08,A,WRITE,380,362,12329
P08,A,WRITE,381,361,12371
P08,A,WRITE,373,377,12406
P08,A,WRITE,377,362,12441
P08,A,WRITE,417,364,12482
P08,A,WRITE,465,363,12516
P08,A,WRITE,467,361,12552
P08,A,WRITE,463,367,12588
P08,A,WRITE,461,363,12629
P08,A,WRITE,468,365,12666
P08,A,WRITE,462,366,12702
P08,A,WRITE,461,361,12737
P08,A,WRITE,516,367,12779
P08,A,WRITE,518,369,12823
P08,A,WRITE,508,373,12865
P08,A,WRITE,507,378,12901
P08,A,WRITE,521,374,12941
P08,A,WRITE,506,371,12983
P08,A,WRITE,442,364,13019
P08,A,WRITE,442,363,13061
P08,A,WRITE,455,362,13096
P08,A,WRITE,435,370,13131
P08,A,WRITE,445,364,13166
P08,A,WRITE,445,348,13212
P08,A,WRITE,495,367,13255
P08,A,WRITE,490,363,13290
P08,A,WRITE,506,366,13327
P08,A,WRITE,505,363,13363
P08,A,WRITE,793,346,13402
P08,A,WRITE,1342,481,13438
P08,A,WRITE,1839,525,13479
P08,A,WRITE,1809,529,13527
P08,A,WRITE,1692,564,13563
P08,A,WRITE,1688,577,13598
P08,A,WRITE,1678,560,13636
P08,A,WRITE,1634,503,13676
P08,A,WRITE,1654,503,13717
P08,A,WRITE,1630,519,13757
P08,A,WRITE,1627,508,13788
P08,A,WRITE,1643,507,13830
P08,A,WRITE,1627,513,13865
P08,A,WRITE,1626,507,13901
P08,A,WRITE,1619,521,13936
P08,A,WRITE,1643,512,13975
P08,A,WRITE,1626,535,14012
P08,A,WRITE,1633,528,14048
P08,A,WRITE,1632,531,14089
P08,A,WRITE,1638,543,14124
P08,A,WRITE,1547,542,14160
P08,A,WRITE,884,429,14196
P08,A,WRITE,452,422,14239
P08,A,WRITE,464,430,14283
P08,A,WRITE,478,412,14324
P08,A,WRITE,483,424,14365
P08,A,WRITE,488,416,14405
P08,A,WRITE,484,415,14447
P08,A,WRITE,539,375,14483
P08,A,WRITE,544,368,14518
P08,A,WRITE,539,369,14563
P08,A,WRITE,539,365,14598
