participant,set,activity,x,y,timestamp
P10,A,PLAY,623,721,0
P10,A,PLAY,453,1329,21
P10,A,PLAY,462,1325,51
P10,A,PLAY,1235,1215,80
P10,A,PLAY,1132,1141,104
P10,A,PLAY,644,1385,131
P10,A,PLAY,611,1046,180
P10,A,PLAY,626,1169,205
P10,A,PLAY,624,1172,230
P10,A,PLAY,470,798,255
P10,A,PLAY,508,934,284
P10,A,PLAY,552,1079,325
P10,A,PLAY,593,1103,366
P10,A,PLAY,592,1172,407
P10,A,PLAY,473,1101,446
P10,A,PLAY,612,939,484
P10,A,PLAY,533,974,517
P10,A,PLAY,544,1121,556
P10,A,PLAY,760,1245,596
P10,A,PLAY,617,1134,638
P10,A,PLAY,610,1087,686
P10,A,PLAY,461,1074,729
P10,A,PLAY,508,1107,780
P10,A,PLAY,572,1058,814
P10,A,PLAY,654,1186,856
P10,A,PLAY,425,1024,908
P10,A,PLAY,546,971,954
P10,A,PLAY,593,989,999
P10,A,PLAY,374,1040,1060
P10,A,PLAY,562,1160,1114
P10,A,PLAY,640,1254,1155
P10,A,PLAY,656,1252,1189
P10,A,PLAY,591,1217,1216
P10,A,PLAY,527,1166,1248
P10,A,PLAY,583,1180,1278
P10,A,PLAY,135,1014,1305
P10,A,PLAY,635,1267,1331
P10,A,PLAY,611,1182,1356
P10,A,PLAY,558,1208,1381
P10,A,PLAY,601,1125,1406
P10,A,PLAY,735,1148,1431
P10,A,PLAY,707,1275,1458
P10,A,PLAY,411,1203,1484
P10,A,PLAY,762,1186,1514
P10,A,PLAY,453,1098,1541
P10,A,PLAY,528,1339,1566
P10,A,PLAY,589,1339,1591
P10,A,PLAY,615,1353,1616
P10,A,PLAY,670,1328,1666
P10,A,PLAY,581,1309,1691
P10,A,PLAY,636,1196,1742
P10,A,PLAY,655,1286,1767
P10,A,PLAY,769,569,2190
P10,A,PLAY,794,573,2211
P10,A,PLAY,813,504,2244
P10,A,PLAY,844,676,2275
P10,A,PLAY,839,612,2309
P10,A,PLAY,826,495,2335
P10,A,PLAY,833,503,2362
P10,A,PLAY,807,536,2390
P10,A,PLAY,836,679,2417
P10,A,PLAY,803,589,2446
P10,A,PLAY,773,514,2474
P10,A,PLAY,853,438,2503
P10,A,PLAY,933,378,2532
P10,A,PLAY,933,341,2562
P10,A,PLAY,951,346,2590
P10,A,PLAY,932,381,2618
P10,A,PLAY,962,333,2646
P10,A,PLAY,977,410,2673
P10,A,PLAY,925,392,2701
P10,A,PLAY,920,299,2726
P10,A,PLAY,961,445,2751
P10,A,PLAY,910,352,2777
P10,A,PLAY,922,241,2806
P10,A,PLAY,952,241,2832
P10,A,PLAY,956,103,2859
P10,A,PLAY,1009,194,2887
P10,A,PLAY,927,193,2915
P10,A,PLAY,1024,195,2942
P10,A,PLAY,924,248,2970
P10,A,PLAY,1025,157,2997
P10,A,PLAY,1023,229,3022
P10,A,PLAY,969,193,3047
P10,A,PLAY,933,255,3072
P10,A,PLAY,918,313,3097
P10,A,PLAY,958,250,3128
P10,A,PLAY,944,209,3156
P10,A,PLAY,809,692,3181
P10,A,PLAY,914,290,3288
P10,A,PLAY,927,359,4441
P10,A,PLAY,953,313,4479
P10,A,PLAY,937,326,4512
P10,A,PLAY,874,280,4551
P10,A,PLAY,916,217,4589
P10,A,PLAY,921,253,4622
P10,A,PLAY,901,271,4655
P10,A,PLAY,927,245,4695
P10,A,PLAY,922,212,4734
P10,A,PLAY,866,221,4767
P10,A,PLAY,883,212,4800
P10,A,PLAY,842,234,4840
P10,A,PLAY,867,224,4879
P10,A,PLAY,871,237,4912
P10,A,PLAY,1127,225,4951
P10,A,PLAY,895,279,4994
P10,A,PLAY,898,235,5015
P10,A,PLAY,896,257,5043
P10,A,PLAY,900,253,5071
P10,A,PLAY,910,258,5100
P10,A,PLAY,896,256,5128
P10,A,PLAY,885,235,5156
P10,A,PLAY,1066,288,5183
P10,A,PLAY,1039,260,5211
P10,A,PLAY,1056,277,5239
P10,A,PLAY,1092,308,5267
P10,A,PLAY,1069,293,5295
P10,A,PLAY,1035,329,5323
P10,A,PLAY,1058,291,5352
P10,A,PLAY,1042,264,5381
P10,A,PLAY,1062,277,5409
P10,A,PLAY,1072,228,5441
P10,A,PLAY,1107,230,5469
P10,A,PLAY,974,222,5497
P10,A,PLAY,979,310,5525
P10,A,PLAY,982,251,5554
P10,A,PLAY,954,261,5583
P10,A,PLAY,980,269,5612
P10,A,PLAY,954,268,5642
P10,A,PLAY,975,265,5670
P10,A,PLAY,969,273,5699
P10,A,PLAY,817,476,5727
P10,A,PLAY,825,497,5756
P10,A,PLAY,789,523,5784
P10,A,PLAY,830,519,5811
P10,A,PLAY,797,549,5839
P10,A,PLAY,812,554,5867
P10,A,PLAY,796,532,5898
P10,A,PLAY,819,516,5926
P10,A,PLAY,825,480,5956
P10,A,PLAY,751,1056,5985
P10,A,PLAY,922,459,6207
P10,A,PLAY,973,468,6228
P10,A,PLAY,940,409,6257
P10,A,PLAY,942,428,6285
P10,A,PLAY,951,402,6314
P10,A,PLAY,1105,393,6343
P10,A,PLAY,1540,389,6373
P10,A,PLAY,1675,391,6401
P10,A,PLAY,1655,375,6432
P10,A,PLAY,1635,363,6462
P10,A,PLAY,1636,394,6492
P10,A,PLAY,1312,397,6729
P10,A,PLAY,1335,348,6753
P10,A,PLAY,1145,354,6787
P10,A,PLAY,705,265,6815
P10,A,PLAY,345,243,6846
P10,A,PLAY,402,195,6876
P10,A,PLAY,447,191,6906
P10,A,PLAY,446,186,6935
P10,A,PLAY,446,191,6965
P10,A,PLAY,440,202,6997
P10,A,PLAY,664,210,7131
P10,A,PLAY,659,173,7162
P10,A,PLAY,659,170,7226
P10,A,PLAY,653,190,7251
P10,A,PLAY,1185,507,7452
P10,A,PLAY,977,497,7573
P10,A,PLAY,982,530,7595
P10,A,PLAY,993,516,7628
P10,A,PLAY,893,464,7657
P10,A,PLAY,911,448,7687
P10,A,PLAY,895,447,7717
P10,A,PLAY,918,457,7746
P10,A,PLAY,909,462,7776
P10,A,PLAY,917,435,7807
P10,A,PLAY,912,463,7836
P10,A,PLAY,905,621,7867
P10,A,PLAY,867,572,7897
P10,A,PLAY,875,657,7926
P10,A,PLAY,737,920,7956
P10,A,PLAY,670,1080,7984
P10,A,PLAY,680,912,8009
P10,A,PLAY,615,1208,8035
P10,A,PLAY,755,699,8063
P10,A,PLAY,726,600,8091
P10,A,PLAY,662,775,8122
P10,A,PLAY,825,748,8150
P10,A,PLAY,721,985,8182
P10,A,PLAY,633,1195,8212
P10,A,PLAY,703,1034,8241
P10,A,PLAY,740,911,8266
P10,A,PLAY,714,957,8296
P10,A,PLAY,751,674,8326
P10,A,PLAY,753,547,8355
P10,A,PLAY,725,748,8383
P10,A,PLAY,745,626,8414
P10,A,PLAY,673,912,8444
P10,A,PLAY,800,924,8472
P10,A,PLAY,716,811,8502
P10,A,PLAY,711,893,8530
P10,A,PLAY,772,786,8559
P10,A,PLAY,743,503,8588
P10,A,PLAY,791,1154,8616
P10,A,PLAY,771,1149,8645
P10,A,PLAY,710,965,8675
P10,A,PLAY,772,873,8701
P10,A,PLAY,738,1091,8727
P10,A,PLAY,763,800,8756
P10,A,PLAY,709,1090,8788
P10,A,PLAY,724,1019,8815
P10,A,PLAY,641,1187,8841
P10,A,PLAY,745,510,8866
P10,A,PLAY,709,802,8891
P10,A,PLAY,664,749,8923
P10,A,PLAY,759,738,8952
P10,A,PLAY,794,818,8982
P10,A,PLAY,846,454,9012
P10,A,PLAY,778,747,9039
P10,A,PLAY,810,510,9066
P10,A,PLAY,733,891,9097
P10,A,PLAY,802,1142,9126
P10,A,PLAY,754,900,9152
P10,A,PLAY,820,518,9178
P10,A,PLAY,865,762,9206
P10,A,PLAY,909,446,9241
P10,A,PLAY,868,543,9269
P10,A,PLAY,908,450,9300
P10,A,PLAY,906,542,9332
P10,A,PLAY,935,461,9362
P10,A,PLAY,917,482,9393
P10,A,PLAY,822,562,9423
P10,A,PLAY,974,565,9455
P10,A,PLAY,816,903,9490
P10,A,PLAY,895,509,9522
P10,A,PLAY,874,606,9550
P10,A,PLAY,897,733,9580
P10,A,PLAY,829,775,9612
P10,A,PLAY,835,590,9641
P10,A,PLAY,803,721,9667
P10,A,PLAY,846,548,9697
P10,A,PLAY,763,807,9723
P10,A,PLAY,840,894,9752
P10,A,PLAY,852,480,9781
P10,A,PLAY,850,554,9812
P10,A,PLAY,811,717,9846
P10,A,PLAY,836,537,9876
P10,A,PLAY,849,584,9903
P10,A,PLAY,846,541,9933
P10,A,PLAY,883,647,9963
P10,A,PLAY,848,514,9994
P10,A,PLAY,873,572,10024
P10,A,PLAY,844,747,10053
P10,A,PLAY,819,744,10084
P10,A,PLAY,928,404,10115
P10,A,PLAY,909,559,10145
P10,A,PLAY,851,556,10171
P10,A,PLAY,854,573,10199
P10,A,PLAY,790,735,10231
P10,A,PLAY,822,788,10261
P10,A,PLAY,901,813,10292
P10,A,PLAY,819,916,10326
P10,A,PLAY,755,747,10351
P10,A,PLAY,712,646,10377
P10,A,PLAY,695,903,10409
P10,A,PLAY,804,799,10442
P10,A,PLAY,795,513,10472
P10,A,PLAY,812,548,10499
P10,A,PLAY,820,561,10528
P10,A,PLAY,841,516,10558
P10,A,PLAY,883,539,10588
P10,A,PLAY,938,548,10618
P10,A,PLAY,927,599,10647
P10,A,PLAY,903,814,10680
P10,A,PLAY,994,612,10711
P10,A,PLAY,951,858,10737
P10,A,PLAY,957,594,10763
P10,A,PLAY,952,622,10789
P10,A,PLAY,949,633,10820
P10,A,PLAY,1037,691,10850
P10,A,PLAY,1025,599,10879
P10,A,PLAY,1122,756,10908
P10,A,PLAY,1156,747,10936
P10,A,PLAY,1137,761,10963
P10,A,PLAY,1172,727,10991
P10,A,PLAY,906,578,11019
P10,A,PLAY,823,536,11047
P10,A,PLAY,903,554,11072
P10,A,PLAY,875,552,11097
P10,A,PLAY,856,511,11124
P10,A,PLAY,912,504,11155
P10,A,PLAY,842,606,11186
P10,A,PLAY,898,525,11213
P10,A,PLAY,896,540,11240
P10,A,PLAY,927,566,11272
P10,A,PLAY,854,687,11302
P10,A,PLAY,956,543,11329
P10,A,PLAY,928,524,11356
P10,A,PLAY,938,563,11387
P10,A,PLAY,931,609,11417
P10,A,PLAY,884,631,11446
P10,A,PLAY,878,855,11483
P10,A,PLAY,903,570,11512
P10,A,PLAY,687,636,11547
P10,A,PLAY,695,591,11579
P10,A,PLAY,715,524,11613
P10,A,PLAY,719,547,11638
P10,A,PLAY,769,574,11666
P10,A,PLAY,772,709,11699
P10,A,PLAY,713,1268,11735
P10,A,PLAY,682,1100,11767
P10,A,PLAY,805,858,11792
P10,A,PLAY,736,840,11818
P10,A,PLAY,671,1172,11847
P10,A,PLAY,694,1121,11876
P10,A,PLAY,720,1062,11902
P10,A,PLAY,754,616,11927
P10,A,PLAY,786,877,11953
P10,A,PLAY,697,558,11984
P10,A,PLAY,710,763,12011
P10,A,PLAY,768,815,12037
P10,A,PLAY,815,544,12067
P10,A,PLAY,758,601,12093
P10,A,PLAY,744,565,12130
P10,A,PLAY,792,807,12159
P10,A,PLAY,781,697,12189
P10,A,PLAY,789,470,12219
P10,A,PLAY,927,572,12249
P10,A,PLAY,755,840,12278
P10,A,PLAY,1025,268,12308
P10,A,PLAY,1116,208,12339
P10,A,PLAY,1080,176,12369
P10,A,PLAY,1065,168,12397
P10,A,PLAY,1118,184,12425
P10,A,PLAY,1111,201,12453
P10,A,PLAY,1175,183,12481
P10,A,PLAY,1298,166,12509
P10,A,PLAY,1274,150,12537
P10,A,PLAY,1289,581,12565
P10,A,PLAY,1231,272,12597
P10,A,PLAY,1275,158,12625
P10,A,PLAY,1284,128,12659
P10,A,PLAY,1310,189,12687
P10,A,PLAY,1332,176,12715
P10,A,PLAY,1338,368,12741
P10,A,PLAY,1334,202,12769
P10,A,PLAY,1300,238,12799
P10,A,PLAY,1309,253,12828
P10,A,PLAY,1318,297,12860
P10,A,PLAY,1285,202,12889
P10,A,PLAY,728,198,12919
P10,A,PLAY,319,206,12948
P10,A,PLAY,337,177,12976
P10,A,PLAY,348,173,13006
P10,A,PLAY,343,169,13036
P10,A,PLAY,376,169,13066
P10,A,PLAY,381,165,13096
P10,A,PLAY,388,178,13125
P10,A,PLAY,404,195,13155
P10,A,PLAY,414,189,13184
P10,A,PLAY,420,187,13212
P10,A,PLAY,436,193,13240
P10,A,PLAY,722,346,13269
P10,A,PLAY,815,358,13297
P10,A,PLAY,821,415,13327
P10,A,PLAY,830,397,13356
P10,A,PLAY,794,382,13386
P10,A,PLAY,893,444,13420
P10,A,PLAY,854,414,13452
P10,A,PLAY,833,395,13479
P10,A,PLAY,846,473,13509
P10,A,PLAY,881,454,13541
P10,A,PLAY,886,429,13571
P10,A,PLAY,880,453,13600
P10,A,PLAY,967,599,13631
P10,A,PLAY,922,383,13662
P10,A,PLAY,825,513,13689
P10,A,PLAY,941,402,13721
P10,A,PLAY,671,225,13753
P10,A,PLAY,664,206,13783
P10,A,PLAY,680,212,13811
P10,A,PLAY,703,194,13840
P10,A,PLAY,715,285,13868
P10,A,PLAY,712,255,13896
P10,A,PLAY,730,241,13925
P10,A,PLAY,719,298,13953
P10,A,PLAY,719,260,13983
P10,A,PLAY,760,288,14011
P10,A,PLAY,761,286,14040
P10,A,PLAY,735,305,14067
P10,A,PLAY,766,287,14095
P10,A,PLAY,789,310,14123
P10,A,PLAY,804,413,14151
P10,A,PLAY,786,337,14179
P10,A,PLAY,783,340,14207
P10,A,PLAY,845,297,14234
P10,A,PLAY,824,334,14267
P10,A,PLAY,840,324,14295
P10,A,PLAY,829,350,14323
P10,A,PLAY,845,402,14351
P10,A,PLAY,744,286,14379
P10,A,PLAY,731,241,14407
P10,A,PLAY,740,255,14435
P10,A,PLAY,745,266,14463
P10,A,PLAY,748,303,14491
P10,A,PLAY,784,235,14521
P10,A,PLAY,749,292,14550
P10,A,PLAY,757,320,14578
P10,A,PLAY,772,297,14606
P10,A,PLAY,765,295,14634
P10,A,PLAY,771,311,14663
P10,A,PLAY,793,368,14691
P10,A,PLAY,798,340,14718
P10,A,PLAY,897,252,14746
P10,A,PLAY,810,318,14777
P10,A,PLAY,816,340,14805
P10,A,PLAY,812,367,14835
P10,A,PLAY,829,326,14863
P10,A,PLAY,841,327,14892
P10,A,PLAY,811,378,14920
P10,A,PLAY,833,423,14948
P10,A,PLAY,845,382,14976
P10,A,PLAY,895,314,15004
P10,A,PLAY,894,254,15032
P10,A,PLAY,887,246,15061
P10,A,PLAY,829,346,15089
P10,A,PLAY,891,315,15118
P10,A,PLAY,924,273,15146
P10,A,PLAY,943,301,15175
P10,A,PLAY,890,337,15202
P10,A,PLAY,985,384,15230
P10,A,PLAY,931,306,15260
P10,A,PLAY,948,298,15288
P10,A,PLAY,939,293,15315
P10,A,PLAY,945,306,15343
P10,A,PLAY,898,337,15372
P10,A,PLAY,954,285,15401
P10,A,PLAY,892,381,15429
P10,A,PLAY,942,552,15457
P10,A,PLAY,949,615,15486
P10,A,PLAY,944,366,15513
P10,A,PLAY,981,709,15541
P10,A,PLAY,1022,604,15570
P10,A,PLAY,916,567,15598
P10,A,PLAY,913,542,15627
P10,A,PLAY,955,464,15655
P10,A,PLAY,960,380,15682
P10,A,PLAY,959,406,15710
P10,A,PLAY,1001,402,15739
P10,A,PLAY,997,509,15767
P10,A,PLAY,882,362,15794
P10,A,PLAY,841,390,15822
P10,A,PLAY,864,401,15850
P10,A,PLAY,894,361,15878
P10,A,PLAY,922,349,15908
P10,A,PLAY,934,349,15936
P10,A,PLAY,891,368,15964
P10,A,PLAY,911,313,15992
P10,A,PLAY,900,370,16020
P10,A,PLAY,932,382,16047
P10,A,PLAY,1024,440,16074
P10,A,PLAY,931,468,16105
P10,A,PLAY,871,553,16132
P10,A,PLAY,904,447,16159
P10,A,PLAY,951,383,16188
P10,A,PLAY,792,226,16216
P10,A,PLAY,795,214,16243
P10,A,PLAY,777,253,16272
P10,A,PLAY,772,288,16299
P10,A,PLAY,805,253,16327
P10,A,PLAY,777,282,16356
P10,A,PLAY,800,282,16384
P10,A,PLAY,790,366,16413
P10,A,PLAY,795,264,16443
P10,A,PLAY,774,260,16473
P10,A,PLAY,780,312,16501
P10,A,PLAY,774,310,16532
P10,A,PLAY,808,343,16561
P10,A,PLAY,768,368,16592
P10,A,PLAY,729,361,16623
P10,A,PLAY,713,282,16651
P10,A,PLAY,673,359,16679
P10,A,PLAY,715,338,16707
P10,A,PLAY,720,306,16740
P10,A,PLAY,746,365,16769
P10,A,PLAY,734,324,16797
P10,A,PLAY,724,344,16825
P10,A,PLAY,767,312,16854
P10,A,PLAY,742,335,16882
P10,A,PLAY,743,382,16911
P10,A,PLAY,890,498,16938
P10,A,PLAY,943,408,16966
P10,A,PLAY,941,467,16994
