participant,set,activity,x,y,timestamp
P10,A,WATCH,720,1118,0
P10,A,WATCH,707,1168,57
P10,A,WATCH,692,1178,106
P10,A,WATCH,663,1131,138
P10,A,WATCH,727,1102,168
P10,A,WATCH,705,1115,198
P10,A,WATCH,696,1162,227
P10,A,WATCH,720,1146,257
P10,A,WATCH,736,1161,286
P10,A,WATCH,727,977,315
P10,A,WATCH,785,942,345
P10,A,WATCH,754,1027,376
P10,A,WATCH,692,1040,406
P10,A,WATCH,667,1055,436
P10,A,WATCH,722,1040,464
P10,A,WATCH,727,1030,493
P10,A,WATCH,666,988,523
P10,A,WATCH,714,1045,552
P10,A,WATCH,686,1063,581
P10,A,WATCH,678,1130,610
P10,A,WATCH,799,999,639
P10,A,WATCH,675,1014,669
P10,A,WATCH,690,1042,704
P10,A,WATCH,745,986,734
P10,A,WATCH,723,1088,764
P10,A,WATCH,664,1003,793
P10,A,WATCH,752,1028,822
P10,A,WATCH,710,1055,851
P10,A,WATCH,741,947,880
P10,A,WATCH,706,995,910
P10,A,WATCH,685,1074,941
P10,A,WATCH,697,951,971
P10,A,WATCH,697,1042,1000
P10,A,WATCH,677,1044,1030
P10,A,WATCH,635,1076,1060
P10,A,WATCH,651,1083,1088
P10,A,WATCH,617,1064,1117
P10,A,WATCH,667,1041,1145
P10,A,WATCH,680,1047,1173
P10,A,WATCH,671,1131,1201
P10,A,WATCH,1023,699,1229
P10,A,WATCH,1342,343,1260
P10,A,WATCH,1390,301,1290
P10,A,WATCH,1347,362,1320
P10,A,WATCH,1352,320,1350
P10,A,WATCH,1343,347,1382
P10,A,WATCH,1354,324,1415
P10,A,WATCH,1356,392,1445
P10,A,WATCH,1105,455,1478
P10,A,WATCH,1159,424,1509
P10,A,WATCH,1061,644,1539
P10,A,WATCH,1230,869,1568
P10,A,WATCH,1227,763,1598
P10,A,WATCH,1278,733,1626
P10,A,WATCH,1212,750,1658
P10,A,WATCH,1208,694,1684
P10,A,WATCH,1200,789,1716
P10,A,WATCH,845,473,1749
P10,A,WATCH,775,549,1780
P10,A,WATCH,776,500,1816
P10,A,WATCH,790,501,1848
P10,A,WATCH,1005,784,1879
P10,A,WATCH,1152,796,1910
P10,A,WATCH,593,503,1994
P10,A,WATCH,625,500,2026
P10,A,WATCH,1225,1108,2108
P10,A,WATCH,1210,692,2133
P10,A,WATCH,1384,1100,2158
P10,A,WATCH,1387,856,2184
P10,A,WATCH,1327,1163,2209
P10,A,WATCH,1326,1042,2234
P10,A,WATCH,1224,705,2261
P10,A,WATCH,1318,955,2287
P10,A,WATCH,1343,1167,2312
P10,A,WATCH,1367,1048,2342
P10,A,WATCH,1308,895,2372
P10,A,WATCH,1345,1048,2401
P10,A,WATCH,1317,953,2429
P10,A,WATCH,1373,1149,2457
P10,A,WATCH,1313,1139,2486
P10,A,WATCH,1307,723,2512
P10,A,WATCH,1295,1101,2540
P10,A,WATCH,1488,947,2569
P10,A,WATCH,1358,544,2600
P10,A,WATCH,1353,1256,2631
P10,A,WATCH,1398,845,2659
P10,A,WATCH,1415,552,2687
P10,A,WATCH,1319,861,2717
P10,A,WATCH,1470,406,2748
P10,A,WATCH,1468,540,2776
P10,A,WATCH,1415,623,2806
P10,A,WATCH,1431,585,2841
P10,A,WATCH,1459,437,2871
P10,A,WATCH,1470,468,2899
P10,A,WATCH,1314,551,2929
P10,A,WATCH,885,464,2958
P10,A,WATCH,900,457,2988
P10,A,WATCH,898,494,3020
P10,A,WATCH,891,460,3053
P10,A,WATCH,984,608,3085
P10,A,WATCH,1087,839,3117
P10,A,WATCH,1374,1166,3152
P10,A,WATCH,1087,733,3373
P10,A,WATCH,1142,929,3451
P10,A,WATCH,925,455,3476
P10,A,WATCH,970,334,3509
P10,A,WATCH,978,331,3538
P10,A,WATCH,969,347,3566
P10,A,WATCH,982,351,3596
P10,A,WATCH,976,330,3625
P10,A,WATCH,961,373,3655
P10,A,WATCH,984,377,3684
P10,A,WATCH,961,256,3715
P10,A,WATCH,951,300,3744
P10,A,WATCH,909,233,3775
P10,A,WATCH,888,264,3805
P10,A,WATCH,977,294,3835
P10,A,WATCH,918,262,3866
P10,A,WATCH,962,281,3900
P10,A,WATCH,1040,351,3932
P10,A,WATCH,1006,397,3963
P10,A,WATCH,995,377,3996
P10,A,WATCH,1048,388,4029
P10,A,WATCH,739,486,4062
P10,A,WATCH,516,722,4095
P10,A,WATCH,594,784,4128
P10,A,WATCH,539,788,4159
P10,A,WATCH,512,799,4192
P10,A,WATCH,386,706,4222
P10,A,WATCH,500,679,4251
P10,A,WATCH,544,721,4283
P10,A,WATCH,514,684,4312
P10,A,WATCH,524,726,4342
P10,A,WATCH,526,730,4371
P10,A,WATCH,567,815,4400
P10,A,WATCH,532,729,4430
P10,A,WATCH,578,768,4459
P10,A,WATCH,236,974,4489
P10,A,WATCH,710,1287,4518
P10,A,WATCH,558,1179,4549
P10,A,WATCH,517,1253,4580
P10,A,WATCH,341,1036,4611
P10,A,WATCH,521,1171,4637
P10,A,WATCH,542,1196,4663
P10,A,WATCH,459,1096,4694
P10,A,WATCH,577,1258,4726
P10,A,WATCH,611,1219,4761
P10,A,WATCH,303,1017,4796
P10,A,WATCH,679,1227,4830
P10,A,WATCH,392,850,4862
P10,A,WATCH,600,839,4888
P10,A,WATCH,593,806,4917
P10,A,WATCH,651,919,4947
P10,A,WATCH,541,794,4977
P10,A,WATCH,603,785,5012
P10,A,WATCH,542,736,5045
P10,A,WATCH,621,821,5075
P10,A,WATCH,892,465,5105
P10,A,WATCH,856,473,5136
P10,A,WATCH,859,471,5166
P10,A,WATCH,856,459,5197
P10,A,WATCH,886,433,5226
P10,A,WATCH,860,463,5256
P10,A,WATCH,870,461,5285
P10,A,WATCH,854,459,5315
P10,A,WATCH,868,444,5344
P10,A,WATCH,973,342,5376
P10,A,WATCH,967,263,5406
P10,A,WATCH,994,215,5436
P10,A,WATCH,998,218,5466
P10,A,WATCH,1020,212,5496
P10,A,WATCH,999,203,5526
P10,A,WATCH,1010,213,5556
P10,A,WATCH,985,221,5585
P10,A,WATCH,1013,213,5615
P10,A,WATCH,1010,225,5645
P10,A,WATCH,999,211,5676
P10,A,WATCH,1009,218,5706
P10,A,WATCH,1023,210,5736
P10,A,WATCH,985,236,5766
P10,A,WATCH,1003,216,5796
P10,A,WATCH,1028,207,5827
P10,A,WATCH,1019,228,5856
P10,A,WATCH,1019,223,5886
