participant,set,activity,x,y,timestamp
P11,B,INTERPRET,220,398,0
P11,B,INTERPRET,191,457,31
P11,B,INTERPRET,175,448,63
P11,B,INTERPRET,205,471,94
P11,B,INTERPRET,209,463,125
P11,B,INTERPRET,197,456,157
P11,B,INTERPRET,179,446,189
P11,B,INTERPRET,179,461,220
P11,B,INTERPRET,173,449,252
P11,B,INTERPRET,158,463,283
P11,B,INTERPRET,158,455,314
P11,B,INTERPRET,146,453,346
P11,B,INTERPRET,156,459,378
P11,B,INTERPRET,147,468,413
P11,B,INTERPRET,158,466,446
P11,B,INTERPRET,159,461,477
P11,B,INTERPRET,161,469,510
P11,B,INTERPRET,165,389,542
P11,B,INTERPRET,128,221,574
P11,B,INTERPRET,119,231,605
P11,B,INTERPRET,107,229,638
P11,B,INTERPRET,122,241,671
P11,B,INTERPRET,117,225,703
P11,B,INTERPRET,115,231,735
P11,B,INTERPRET,164,229,768
P11,B,INTERPRET,163,234,800
P11,B,INTERPRET,149,216,833
P11,B,INTERPRET,149,181,864
P11,B,INTERPRET,177,233,896
P11,B,INTERPRET,161,214,928
P11,B,INTERPRET,156,213,964
P11,B,INTERPRET,165,212,997
P11,B,INTERPRET,190,218,1030
P11,B,INTERPRET,187,218,1062
P11,B,INTERPRET,194,200,1094
P11,B,INTERPRET,189,210,1125
P11,B,INTERPRET,149,225,1157
P11,B,INTERPRET,142,203,1188
P11,B,INTERPRET,137,223,1220
P11,B,INTERPRET,137,216,1253
P11,B,INTERPRET,139,256,1286
P11,B,INTERPRET,136,245,1319
P11,B,INTERPRET,176,251,1357
P11,B,INTERPRET,179,243,1395
P11,B,INTERPRET,187,251,1428
P11,B,INTERPRET,186,244,1460
P11,B,INTERPRET,185,251,1492
P11,B,INTERPRET,171,250,1528
P11,B,INTERPRET,172,247,1560
P11,B,INTERPRET,172,257,1593
P11,B,INTERPRET,148,246,1625
P11,B,INTERPRET,145,252,1657
P11,B,INTERPRET,154,231,1689
P11,B,INTERPRET,144,256,1722
P11,B,INTERPRET,150,248,1755
P11,B,INTERPRET,140,239,1788
P11,B,INTERPRET,152,237,1821
P11,B,INTERPRET,179,235,1854
P11,B,INTERPRET,176,234,1887
P11,B,INTERPRET,180,245,1919
P11,B,INTERPRET,172,237,1951
P11,B,INTERPRET,168,243,1983
P11,B,INTERPRET,181,244,2015
P11,B,INTERPRET,173,237,2047
P11,B,INTERPRET,181,245,2082
P11,B,INTERPRET,155,247,2115
P11,B,INTERPRET,162,243,2148
P11,B,INTERPRET,171,239,2181
P11,B,INTERPRET,156,249,2214
P11,B,INTERPRET,155,248,2247
P11,B,INTERPRET,144,240,2280
P11,B,INTERPRET,184,247,2312
P11,B,INTERPRET,173,248,2344
P11,B,INTERPRET,177,235,2376
P11,B,INTERPRET,156,251,2409
P11,B,INTERPRET,140,265,2441
P11,B,INTERPRET,139,275,2473
P11,B,INTERPRET,132,270,2505
P11,B,INTERPRET,134,277,2537
P11,B,INTERPRET,141,274,2570
P11,B,INTERPRET,131,264,2603
P11,B,INTERPRET,143,280,2638
P11,B,INTERPRET,158,265,2671
P11,B,INTERPRET,169,266,2704
P11,B,INTERPRET,164,274,2737
P11,B,INTERPRET,151,257,2769
P11,B,INTERPRET,171,272,2802
P11,B,INTERPRET,160,260,2835
P11,B,INTERPRET,166,269,2868
P11,B,INTERPRET,170,264,2900
P11,B,INTERPRET,165,273,2933
P11,B,INTERPRET,151,270,2966
P11,B,INTERPRET,165,256,2999
P11,B,INTERPRET,146,288,3031
P11,B,INTERPRET,159,282,3064
P11,B,INTERPRET,153,294,3097
P11,B,INTERPRET,162,292,3130
P11,B,INTERPRET,160,286,3163
P11,B,INTERPRET,158,288,3199
P11,B,INTERPRET,151,287,3233
P11,B,INTERPRET,156,282,3266
P11,B,INTERPRET,153,283,3299
P11,B,INTERPRET,167,282,3332
P11,B,INTERPRET,164,291,3365
P11,B,INTERPRET,186,308,3398
P11,B,INTERPRET,175,315,3430
P11,B,INTERPRET,191,311,3463
P11,B,INTERPRET,175,310,3495
P11,B,INTERPRET,182,312,3527
P11,B,INTERPRET,181,301,3559
P11,B,INTERPRET,185,305,3591
P11,B,INTERPRET,188,315,3624
P11,B,INTERPRET,191,312,3657
P11,B,INTERPRET,197,318,3691
P11,B,INTERPRET,196,306,3724
P11,B,INTERPRET,192,313,3760
P11,B,INTERPRET,196,315,3795
P11,B,INTERPRET,200,317,3829
P11,B,INTERPRET,198,323,3862
P11,B,INTERPRET,200,318,3896
P11,B,INTERPRET,197,314,3930
P11,B,INTERPRET,194,320,3963
P11,B,INTERPRET,187,312,3997
P11,B,INTERPRET,199,322,4030
P11,B,INTERPRET,191,323,4063
P11,B,INTERPRET,206,321,4096
P11,B,INTERPRET,140,268,4130
P11,B,INTERPRET,149,250,4163
P11,B,INTERPRET,150,260,4196
P11,B,INTERPRET,153,260,4230
P11,B,INTERPRET,141,253,4263
P11,B,INTERPRET,161,256,4300
P11,B,INTERPRET,166,253,4334
P11,B,INTERPRET,147,269,4367
P11,B,INTERPRET,146,255,4400
P11,B,INTERPRET,145,258,4434
P11,B,INTERPRET,172,256,4467
P11,B,INTERPRET,175,255,4499
P11,B,INTERPRET,177,252,4532
P11,B,INTERPRET,175,254,4565
P11,B,INTERPRET,173,258,4597
P11,B,INTERPRET,191,251,4630
P11,B,INTERPRET,184,254,4663
P11,B,INTERPRET,196,265,4696
P11,B,INTERPRET,160,276,4731
P11,B,INTERPRET,158,277,4764
P11,B,INTERPRET,153,277,4798
P11,B,INTERPRET,162,283,4831
P11,B,INTERPRET,160,284,4868
P11,B,INTERPRET,174,283,4903
P11,B,INTERPRET,167,291,4937
P11,B,INTERPRET,171,290,4971
P11,B,INTERPRET,177,283,5005
P11,B,INTERPRET,177,284,5038
P11,B,INTERPRET,178,287,5071
P11,B,INTERPRET,187,290,5105
P11,B,INTERPRET,160,273,5138
P11,B,INTERPRET,176,276,5172
P11,B,INTERPRET,170,281,5204
P11,B,INTERPRET,166,264,5239
P11,B,INTERPRET,176,242,5273
P11,B,INTERPRET,175,247,5306
P11,B,INTERPRET,171,284,5339
P11,B,INTERPRET,179,284,5372
P11,B,INTERPRET,171,290,5405
P11,B,INTERPRET,188,293,5441
P11,B,INTERPRET,184,284,5475
P11,B,INTERPRET,192,286,5509
P11,B,INTERPRET,198,298,5542
P11,B,INTERPRET,189,285,5574
P11,B,INTERPRET,195,293,5606
P11,B,INTERPRET,186,294,5639
P11,B,INTERPRET,201,298,5672
P11,B,INTERPRET,206,288,5705
P11,B,INTERPRET,222,292,5738
P11,B,INTERPRET,221,268,5772
P11,B,INTERPRET,196,243,5806
P11,B,INTERPRET,230,234,5840
P11,B,INTERPRET,238,261,5875
P11,B,INTERPRET,226,263,5910
P11,B,INTERPRET,217,278,5945
