"participant","set","activity","x","y","timestamp"
"P12","C","PLAY",695,541,0
"P12","C","PLAY",702,498,29
"P12","C","PLAY",685,549,65
"P12","C","PLAY",681,526,99
"P12","C","PLAY",621,755,135
"P12","C","PLAY",547,1056,167
"P12","C","PLAY",575,1086,200
"P12","C","PLAY",555,1051,231
"P12","C","PLAY",546,1035,262
"P12","C","PLAY",566,1078,293
"P12","C","PLAY",611,1120,323
"P12","C","PLAY",577,1114,357
"P12","C","PLAY",588,1085,388
"P12","C","PLAY",572,1109,420
"P12","C","PLAY",579,1099,450
"P12","C","PLAY",608,1065,484
"P12","C","PLAY",613,1117,515
"P12","C","PLAY",622,1107,546
"P12","C","PLAY",585,1071,577
"P12","C","PLAY",586,1015,608
"P12","C","PLAY",605,1110,644
"P12","C","PLAY",596,1107,682
"P12","C","PLAY",595,1082,718
"P12","C","PLAY",605,1073,750
"P12","C","PLAY",604,1093,782
"P12","C","PLAY",611,1049,815
"P12","C","PLAY",626,1089,847
"P12","C","PLAY",583,941,879
"P12","C","PLAY",577,996,910
"P12","C","PLAY",631,895,942
"P12","C","PLAY",847,521,978
"P12","C","PLAY",846,538,1012
"P12","C","PLAY",838,542,1049
"P12","C","PLAY",840,539,1081
"P12","C","PLAY",843,527,1113
"P12","C","PLAY",835,526,1145
"P12","C","PLAY",848,504,1176
"P12","C","PLAY",851,533,1208
"P12","C","PLAY",847,511,1246
"P12","C","PLAY",846,525,1280
"P12","C","PLAY",833,528,1312
"P12","C","PLAY",922,539,1345
"P12","C","PLAY",936,560,1377
"P12","C","PLAY",922,544,1410
"P12","C","PLAY",931,539,1442
"P12","C","PLAY",932,538,1474
"P12","C","PLAY",931,565,1506
"P12","C","PLAY",936,573,1538
"P12","C","PLAY",916,556,1568
"P12","C","PLAY",937,556,1599
"P12","C","PLAY",939,528,1630
"P12","C","PLAY",929,521,1660
"P12","C","PLAY",932,528,1690
"P12","C","PLAY",944,545,1724
"P12","C","PLAY",947,510,1768
"P12","C","PLAY",950,508,1837
"P12","C","PLAY",943,518,1939
"P12","C","PLAY",944,502,2049
"P12","C","PLAY",928,565,2122
"P12","C","PLAY",931,672,2168
"P12","C","PLAY",923,687,2198
"P12","C","PLAY",923,660,2228
"P12","C","PLAY",921,670,2260
"P12","C","PLAY",930,653,2290
"P12","C","PLAY",927,649,2320
"P12","C","PLAY",924,643,2352
"P12","C","PLAY",930,645,2383
"P12","C","PLAY",931,652,2413
"P12","C","PLAY",936,646,2443
"P12","C","PLAY",918,657,2476
"P12","C","PLAY",926,640,2507
"P12","C","PLAY",922,520,2538
"P12","C","PLAY",936,526,2568
"P12","C","PLAY",936,525,2598
"P12","C","PLAY",939,505,2628
"P12","C","PLAY",932,519,2657
"P12","C","PLAY",943,531,2687
"P12","C","PLAY",932,529,2718
"P12","C","PLAY",927,520,2749
"P12","C","PLAY",931,516,2779
"P12","C","PLAY",932,518,2810
"P12","C","PLAY",932,525,2840
"P12","C","PLAY",933,507,2870
"P12","C","PLAY",927,524,2900
"P12","C","PLAY",933,506,2930
"P12","C","PLAY",930,526,2960
"P12","C","PLAY",915,530,2990
"P12","C","PLAY",912,536,3023
"P12","C","PLAY",929,515,3056
"P12","C","PLAY",916,517,3088
"P12","C","PLAY",923,536,3120
"P12","C","PLAY",911,551,3150
"P12","C","PLAY",925,520,3181
"P12","C","PLAY",914,551,3213
"P12","C","PLAY",925,526,3244
"P12","C","PLAY",958,568,3275
"P12","C","PLAY",953,545,3305
"P12","C","PLAY",955,548,3336
"P12","C","PLAY",965,545,3367
"P12","C","PLAY",959,556,3397
"P12","C","PLAY",961,550,3427
"P12","C","PLAY",955,548,3458
"P12","C","PLAY",954,529,3488
"P12","C","PLAY",958,538,3518
"P12","C","PLAY",959,537,3549
"P12","C","PLAY",966,536,3584
"P12","C","PLAY",962,541,3617
"P12","C","PLAY",952,531,3649
"P12","C","PLAY",955,531,3680
"P12","C","PLAY",959,546,3712
"P12","C","PLAY",957,555,3743
"P12","C","PLAY",984,488,3775
"P12","C","PLAY",1030,404,3808
"P12","C","PLAY",1038,376,3839
"P12","C","PLAY",1039,364,3870
"P12","C","PLAY",1039,371,3902
"P12","C","PLAY",1036,378,3934
"P12","C","PLAY",1038,380,3966
"P12","C","PLAY",1034,383,3997
"P12","C","PLAY",1039,393,4029
"P12","C","PLAY",1042,386,4060
"P12","C","PLAY",1055,393,4091
"P12","C","PLAY",1028,408,4122
"P12","C","PLAY",1041,404,4156
"P12","C","PLAY",1031,420,4187
"P12","C","PLAY",1051,495,4218
"P12","C","PLAY",1060,537,4248
"P12","C","PLAY",1046,566,4278
"P12","C","PLAY",1060,561,4309
"P12","C","PLAY",1055,576,4341
"P12","C","PLAY",1046,603,4374
"P12","C","PLAY",1034,669,4406
"P12","C","PLAY",1040,751,4439
"P12","C","PLAY",1059,748,4470
"P12","C","PLAY",1044,774,4502
"P12","C","PLAY",1055,687,4533
"P12","C","PLAY",1041,796,4564
"P12","C","PLAY",1036,804,4595
"P12","C","PLAY",1043,821,4627
"P12","C","PLAY",1026,845,4659
"P12","C","PLAY",1041,848,4692
"P12","C","PLAY",1021,877,4727
"P12","C","PLAY",1041,865,4760
"P12","C","PLAY",1016,820,4792
"P12","C","PLAY",997,426,4823
"P12","C","PLAY",1004,415,4854
"P12","C","PLAY",1005,411,4887
"P12","C","PLAY",1002,416,4918
"P12","C","PLAY",1004,424,4949
"P12","C","PLAY",999,445,4981
"P12","C","PLAY",993,475,5013
"P12","C","PLAY",995,483,5046
"P12","C","PLAY",1002,475,5078
"P12","C","PLAY",996,478,5111
"P12","C","PLAY",1001,496,5143
"P12","C","PLAY",1000,522,5176
"P12","C","PLAY",985,475,5207
"P12","C","PLAY",1013,317,5239
"P12","C","PLAY",1008,329,5271
"P12","C","PLAY",1006,326,5306
"P12","C","PLAY",1005,339,5339
"P12","C","PLAY",1012,353,5370
"P12","C","PLAY",1011,355,5401
"P12","C","PLAY",1008,356,5433
"P12","C","PLAY",1013,354,5464
"P12","C","PLAY",1004,350,5495
"P12","C","PLAY",1008,367,5526
"P12","C","PLAY",1006,372,5558
"P12","C","PLAY",1012,366,5590
"P12","C","PLAY",1005,371,5621
"P12","C","PLAY",998,381,5652
"P12","C","PLAY",707,310,5684
"P12","C","PLAY",634,312,5716
"P12","C","PLAY",611,322,5749
"P12","C","PLAY",614,322,5780
"P12","C","PLAY",618,316,5811
"P12","C","PLAY",604,316,5843
"P12","C","PLAY",604,335,5878
"P12","C","PLAY",609,334,5910
"P12","C","PLAY",873,295,5942
"P12","C","PLAY",1049,288,5973
"P12","C","PLAY",1053,281,6005
"P12","C","PLAY",1049,288,6036
"P12","C","PLAY",1045,291,6067
"P12","C","PLAY",1051,294,6099
"P12","C","PLAY",1045,296,6131
"P12","C","PLAY",931,501,6163
"P12","C","PLAY",916,512,6194
"P12","C","PLAY",926,505,6225
"P12","C","PLAY",917,515,6256
"P12","C","PLAY",919,505,6288
"P12","C","PLAY",918,512,6319
"P12","C","PLAY",920,505,6350
"P12","C","PLAY",904,521,6381
"P12","C","PLAY",812,477,6414
"P12","C","PLAY",793,479,6449
"P12","C","PLAY",798,480,6482
"P12","C","PLAY",807,458,6513
"P12","C","PLAY",797,474,6545
"P12","C","PLAY",794,480,6575
"P12","C","PLAY",790,476,6606
"P12","C","PLAY",792,475,6638
"P12","C","PLAY",791,463,6668
"P12","C","PLAY",776,466,6700
"P12","C","PLAY",778,469,6732
"P12","C","PLAY",772,466,6764
"P12","C","PLAY",769,483,6796
"P12","C","PLAY",771,466,6828
"P12","C","PLAY",775,472,6860
"P12","C","PLAY",770,459,6892
"P12","C","PLAY",885,551,6922
"P12","C","PLAY",969,626,6954
"P12","C","PLAY",982,608,6990
"P12","C","PLAY",983,627,7023
"P12","C","PLAY",984,628,7055
"P12","C","PLAY",989,625,7086
"P12","C","PLAY",995,596,7118
"P12","C","PLAY",991,595,7149
"P12","C","PLAY",1010,628,7181
"P12","C","PLAY",1001,639,7213
"P12","C","PLAY",1008,635,7245
"P12","C","PLAY",1016,619,7277
"P12","C","PLAY",1022,600,7309
"P12","C","PLAY",1016,589,7342
"P12","C","PLAY",1010,584,7374
"P12","C","PLAY",1012,570,7406
"P12","C","PLAY",1015,575,7438
"P12","C","PLAY",1002,578,7470
"P12","C","PLAY",973,521,7502
"P12","C","PLAY",842,319,7536
"P12","C","PLAY",829,324,7568
"P12","C","PLAY",824,329,7601
"P12","C","PLAY",824,315,7631
"P12","C","PLAY",817,320,7661
"P12","C","PLAY",818,329,7692
"P12","C","PLAY",818,323,7723
"P12","C","PLAY",818,327,7753
"P12","C","PLAY",852,202,7784
"P12","C","PLAY",857,141,7815
"P12","C","PLAY",868,172,7847
"P12","C","PLAY",867,161,7876
"P12","C","PLAY",853,181,7908
"P12","C","PLAY",848,187,7936
"P12","C","PLAY",852,192,7968
"P12","C","PLAY",859,194,8002
"P12","C","PLAY",857,210,8034
"P12","C","PLAY",851,209,8066
"P12","C","PLAY",849,217,8102
"P12","C","PLAY",854,218,8134
"P12","C","PLAY",846,222,8165
"P12","C","PLAY",842,224,8196
"P12","C","PLAY",843,226,8227
"P12","C","PLAY",840,238,8258
"P12","C","PLAY",840,220,8289
"P12","C","PLAY",834,235,8320
"P12","C","PLAY",706,175,8352
"P12","C","PLAY",648,141,8383
"P12","C","PLAY",640,150,8416
"P12","C","PLAY",645,156,8448
"P12","C","PLAY",640,146,8481
"P12","C","PLAY",647,144,8513
"P12","C","PLAY",642,140,8546
"P12","C","PLAY",634,150,8580
"P12","C","PLAY",641,151,8613
"P12","C","PLAY",673,161,8649
"P12","C","PLAY",1077,163,8684
"P12","C","PLAY",1145,171,8718
"P12","C","PLAY",1145,173,8753
"P12","C","PLAY",1148,169,8785
"P12","C","PLAY",1147,174,8819
"P12","C","PLAY",1146,169,8851
"P12","C","PLAY",1142,161,8884
"P12","C","PLAY",1143,162,8916
"P12","C","PLAY",1144,166,8950
"P12","C","PLAY",1208,340,8982
"P12","C","PLAY",1219,375,9015
"P12","C","PLAY",1216,381,9048
"P12","C","PLAY",1224,362,9081
"P12","C","PLAY",1217,371,9114
"P12","C","PLAY",1219,361,9146
"P12","C","PLAY",1219,377,9179
"P12","C","PLAY",1205,375,9216
"P12","C","PLAY",1207,372,9250
"P12","C","PLAY",1213,382,9283
"P12","C","PLAY",1216,363,9316
"P12","C","PLAY",1080,545,9349
"P12","C","PLAY",964,780,9381
"P12","C","PLAY",971,748,9413
"P12","C","PLAY",974,751,9446
"P12","C","PLAY",969,774,9478
"P12","C","PLAY",960,778,9509
"P12","C","PLAY",972,750,9541
"P12","C","PLAY",940,804,9572
"P12","C","PLAY",937,805,9604
"P12","C","PLAY",933,799,9636
"P12","C","PLAY",938,796,9668
"P12","C","PLAY",960,841,9699
"P12","C","PLAY",1045,965,9730
"P12","C","PLAY",1042,968,9763
"P12","C","PLAY",1044,971,9797
"P12","C","PLAY",1037,969,9828
"P12","C","PLAY",1045,955,9859
"P12","C","PLAY",1038,950,9890
"P12","C","PLAY",1090,964,9919
"P12","C","PLAY",1071,969,9949
"P12","C","PLAY",1088,974,9979
"P12","C","PLAY",1079,970,10009
"P12","C","PLAY",1087,962,10040
"P12","C","PLAY",1093,967,10071
"P12","C","PLAY",1093,986,10102
"P12","C","PLAY",1086,972,10134
"P12","C","PLAY",1091,978,10167
"P12","C","PLAY",1068,999,10198
"P12","C","PLAY",1082,976,10230
"P12","C","PLAY",1017,941,10264
"P12","C","PLAY",1009,961,10297
"P12","C","PLAY",1025,931,10334
"P12","C","PLAY",1012,957,10371
"P12","C","PLAY",1033,971,10405
"P12","C","PLAY",1019,944,10440
"P12","C","PLAY",889,925,10473
"P12","C","PLAY",811,997,10507
"P12","C","PLAY",804,992,10541
"P12","C","PLAY",792,1001,10575
"P12","C","PLAY",798,998,10609
"P12","C","PLAY",795,997,10643
"P12","C","PLAY",791,974,10677
"P12","C","PLAY",809,967,10710
"P12","C","PLAY",822,975,10744
"P12","C","PLAY",816,961,10777
"P12","C","PLAY",808,999,10810
"P12","C","PLAY",822,973,10844
"P12","C","PLAY",816,1008,10879
"P12","C","PLAY",827,926,10914
"P12","C","PLAY",843,983,10951
"P12","C","PLAY",831,974,10987
"P12","C","PLAY",828,987,11023
"P12","C","PLAY",832,995,11057
"P12","C","PLAY",873,710,11096
"P12","C","PLAY",1007,622,11130
"P12","C","PLAY",1064,470,11165
"P12","C","PLAY",955,511,11199
"P12","C","PLAY",976,560,11230
"P12","C","PLAY",955,534,11264
"P12","C","PLAY",963,491,11306
"P12","C","PLAY",966,543,11341
"P12","C","PLAY",971,604,11376
"P12","C","PLAY",814,405,11411
"P12","C","PLAY",831,415,11446
"P12","C","PLAY",825,426,11479
"P12","C","PLAY",825,404,11514
"P12","C","PLAY",819,415,11547
"P12","C","PLAY",828,402,11579
"P12","C","PLAY",820,413,11611
"P12","C","PLAY",819,401,11644
"P12","C","PLAY",827,387,11676
"P12","C","PLAY",823,398,11707
"P12","C","PLAY",801,535,11739
"P12","C","PLAY",788,517,11771
"P12","C","PLAY",787,519,11802
"P12","C","PLAY",799,514,11832
"P12","C","PLAY",792,489,11861
"P12","C","PLAY",787,499,11892
"P12","C","PLAY",784,535,11921
"P12","C","PLAY",787,519,11951
"P12","C","PLAY",785,514,11981
"P12","C","PLAY",915,558,12012
"P12","C","PLAY",924,547,12043
"P12","C","PLAY",928,546,12074
"P12","C","PLAY",925,548,12105
"P12","C","PLAY",931,550,12134
"P12","C","PLAY",924,570,12164
"P12","C","PLAY",974,543,12195
"P12","C","PLAY",1009,522,12225
"P12","C","PLAY",1011,521,12255
"P12","C","PLAY",1007,520,12284
"P12","C","PLAY",1013,486,12314
"P12","C","PLAY",1012,516,12344
"P12","C","PLAY",1013,507,12374
"P12","C","PLAY",975,499,12404
"P12","C","PLAY",942,436,12434
"P12","C","PLAY",940,460,12464
"P12","C","PLAY",937,440,12495
"P12","C","PLAY",928,456,12525
"P12","C","PLAY",938,441,12558
"P12","C","PLAY",931,459,12588
"P12","C","PLAY",942,438,12621
"P12","C","PLAY",941,454,12653
"P12","C","PLAY",930,463,12685
"P12","C","PLAY",929,462,12715
"P12","C","PLAY",936,460,12746
"P12","C","PLAY",935,460,12777
"P12","C","PLAY",931,457,12807
"P12","C","PLAY",945,440,12841
"P12","C","PLAY",938,302,12872
"P12","C","PLAY",934,310,12903
"P12","C","PLAY",929,304,12935
"P12","C","PLAY",922,296,12970
"P12","C","PLAY",926,314,13002
"P12","C","PLAY",922,303,13036
"P12","C","PLAY",934,306,13069
