participant,set,activity,x,y,timestamp
P13,A,SEARCH,765,419,0
P13,A,SEARCH,763,414,30
P13,A,SEARCH,716,286,58
P13,A,SEARCH,721,288,86
P13,A,SEARCH,719,278,114
P13,A,SEARCH,718,284,143
P13,A,SEARCH,712,279,173
P13,A,SEARCH,714,280,203
P13,A,SEARCH,711,277,231
P13,A,SEARCH,497,252,259
P13,A,SEARCH,376,220,287
P13,A,SEARCH,369,232,316
P13,A,SEARCH,370,226,346
P13,A,SEARCH,359,229,375
P13,A,SEARCH,369,232,404
P13,A,SEARCH,370,242,433
P13,A,SEARCH,368,237,464
P13,A,SEARCH,373,309,495
P13,A,SEARCH,382,301,524
P13,A,SEARCH,386,305,552
P13,A,SEARCH,379,298,580
P13,A,SEARCH,378,304,609
P13,A,SEARCH,381,298,637
P13,A,SEARCH,304,318,666
P13,A,SEARCH,268,317,696
P13,A,SEARCH,263,317,726
P13,A,SEARCH,253,333,756
P13,A,SEARCH,257,323,786
P13,A,SEARCH,255,316,816
P13,A,SEARCH,261,319,846
P13,A,SEARCH,253,316,877
P13,A,SEARCH,247,310,906
P13,A,SEARCH,260,320,936
P13,A,SEARCH,263,317,965
P13,A,SEARCH,330,321,994
P13,A,SEARCH,342,332,1026
P13,A,SEARCH,358,316,1056
P13,A,SEARCH,348,315,1085
P13,A,SEARCH,348,311,1114
P13,A,SEARCH,354,307,1143
P13,A,SEARCH,351,320,1172
P13,A,SEARCH,357,313,1201
P13,A,SEARCH,352,314,1230
P13,A,SEARCH,420,306,1259
P13,A,SEARCH,418,320,1290
P13,A,SEARCH,424,318,1318
P13,A,SEARCH,419,312,1346
P13,A,SEARCH,423,318,1375
P13,A,SEARCH,420,316,1404
P13,A,SEARCH,410,311,1433
P13,A,SEARCH,422,311,1463
P13,A,SEARCH,410,322,1492
P13,A,SEARCH,434,313,1521
P13,A,SEARCH,441,318,1550
P13,A,SEARCH,430,317,1583
P13,A,SEARCH,433,320,1613
P13,A,SEARCH,416,256,1643
P13,A,SEARCH,284,23,1672
P13,A,SEARCH,290,37,1702
P13,A,SEARCH,288,34,1728
P13,A,SEARCH,305,33,1753
P13,A,SEARCH,314,45,1785
P13,A,SEARCH,299,31,1813
P13,A,SEARCH,285,29,1838
P13,A,SEARCH,301,42,1865
P13,A,SEARCH,293,40,1891
P13,A,SEARCH,49,-97,1948
P13,A,SEARCH,212,64,1974
P13,A,SEARCH,192,43,2002
P13,A,SEARCH,206,50,2027
P13,A,SEARCH,203,49,2052
P13,A,SEARCH,189,59,2078
P13,A,SEARCH,193,54,2108
P13,A,SEARCH,198,58,2138
P13,A,SEARCH,45,-78,2164
P13,A,SEARCH,205,70,2193
P13,A,SEARCH,197,63,2222
P13,A,SEARCH,226,89,2248
P13,A,SEARCH,310,271,2275
P13,A,SEARCH,325,690,2304
P13,A,SEARCH,349,1004,2333
P13,A,SEARCH,466,1391,2363
P13,A,SEARCH,331,181,3365
P13,A,SEARCH,344,197,3389
P13,A,SEARCH,334,197,3413
P13,A,SEARCH,345,209,3440
P13,A,SEARCH,330,199,3466
P13,A,SEARCH,335,197,3492
P13,A,SEARCH,346,196,3518
P13,A,SEARCH,326,198,3545
P13,A,SEARCH,321,191,3573
P13,A,SEARCH,318,75,3602
P13,A,SEARCH,321,91,3632
P13,A,SEARCH,309,90,3663
P13,A,SEARCH,307,68,3694
P13,A,SEARCH,361,260,3871
P13,A,SEARCH,363,230,3916
P13,A,SEARCH,390,247,3958
P13,A,SEARCH,384,236,3995
P13,A,SEARCH,382,233,4031
P13,A,SEARCH,395,246,4059
P13,A,SEARCH,384,252,4084
P13,A,SEARCH,394,253,4114
P13,A,SEARCH,393,240,4139
P13,A,SEARCH,386,259,4168
P13,A,SEARCH,396,266,4197
P13,A,SEARCH,389,242,4226
P13,A,SEARCH,393,239,4256
P13,A,SEARCH,395,248,4285
