participant,set,activity,x,y,timestamp
P14,C,BROWSE,279,105,0
P14,C,BROWSE,246,115,27
P14,C,BROWSE,214,150,55
P14,C,BROWSE,282,96,82
P14,C,BROWSE,264,131,110
P14,C,BROWSE,264,117,138
P14,C,BROWSE,260,97,165
P14,C,BROWSE,256,135,192
P14,C,BROWSE,255,130,220
P14,C,BROWSE,254,131,247
P14,C,BROWSE,242,101,275
P14,C,BROWSE,237,113,302
P14,C,BROWSE,222,128,330
P14,C,BROWSE,169,107,357
P14,C,BROWSE,183,127,385
P14,C,BROWSE,193,91,412
P14,C,BROWSE,203,141,440
P14,C,BROWSE,178,177,468
P14,C,BROWSE,224,67,499
P14,C,BROWSE,195,148,528
P14,C,BROWSE,187,110,556
P14,C,BROWSE,184,145,584
P14,C,BROWSE,218,134,611
P14,C,BROWSE,195,168,640
P14,C,BROWSE,196,149,668
P14,C,BROWSE,167,192,696
P14,C,BROWSE,107,210,725
P14,C,BROWSE,194,170,750
P14,C,BROWSE,198,124,775
P14,C,BROWSE,171,134,800
P14,C,BROWSE,179,108,828
P14,C,BROWSE,176,139,857
P14,C,BROWSE,350,180,885
P14,C,BROWSE,847,304,913
P14,C,BROWSE,938,305,942
P14,C,BROWSE,892,351,971
P14,C,BROWSE,895,305,998
P14,C,BROWSE,923,327,1025
P14,C,BROWSE,921,294,1057
P14,C,BROWSE,923,250,1086
P14,C,BROWSE,913,323,1114
P14,C,BROWSE,892,300,1143
P14,C,BROWSE,919,296,1171
P14,C,BROWSE,923,268,1199
P14,C,BROWSE,996,306,1226
P14,C,BROWSE,1557,158,1255
P14,C,BROWSE,1718,155,1283
P14,C,BROWSE,1724,131,1311
P14,C,BROWSE,1699,120,1340
P14,C,BROWSE,1703,132,1369
P14,C,BROWSE,1718,115,1397
P14,C,BROWSE,1708,132,1426
P14,C,BROWSE,1710,126,1451
P14,C,BROWSE,1680,166,1476
P14,C,BROWSE,1696,127,1501
P14,C,BROWSE,1705,151,1526
