"participant","set","activity","x","y","timestamp"
"P14","C","READ",680,206,0
"P14","C","READ",687,246,27
"P14","C","READ",663,218,54
"P14","C","READ",671,282,81
"P14","C","READ",679,275,108
"P14","C","READ",647,314,135
"P14","C","READ",653,252,163
"P14","C","READ",681,289,190
"P14","C","READ",666,273,218
"P14","C","READ",727,236,246
"P14","C","READ",725,189,274
"P14","C","READ",720,160,305
"P14","C","READ",757,165,335
"P14","C","READ",737,157,362
"P14","C","READ",731,162,391
"P14","C","READ",761,170,418
"P14","C","READ",737,120,445
"P14","C","READ",754,143,472
"P14","C","READ",775,141,499
"P14","C","READ",748,116,526
"P14","C","READ",745,113,553
"P14","C","READ",747,188,579
"P14","C","READ",769,141,605
"P14","C","READ",766,147,632
"P14","C","READ",739,136,658
"P14","C","READ",801,133,684
"P14","C","READ",798,147,710
"P14","C","READ",820,143,735
"P14","C","READ",795,168,761
"P14","C","READ",800,121,787
"P14","C","READ",811,183,813
"P14","C","READ",846,146,839
"P14","C","READ",834,135,868
"P14","C","READ",812,159,895
"P14","C","READ",849,162,921
"P14","C","READ",857,181,947
"P14","C","READ",873,155,973
"P14","C","READ",866,151,999
"P14","C","READ",831,149,1025
"P14","C","READ",787,150,1052
"P14","C","READ",758,180,1078
"P14","C","READ",745,158,1104
"P14","C","READ",743,173,1130
"P14","C","READ",774,196,1157
"P14","C","READ",763,185,1183
"P14","C","READ",771,212,1210
"P14","C","READ",780,196,1236
"P14","C","READ",780,189,1262
"P14","C","READ",767,165,1289
"P14","C","READ",763,193,1316
"P14","C","READ",732,203,1342
"P14","C","READ",731,206,1368
"P14","C","READ",748,182,1396
"P14","C","READ",717,225,1425
"P14","C","READ",733,217,1453
"P14","C","READ",830,217,1480
"P14","C","READ",798,242,1507
"P14","C","READ",824,171,1535
"P14","C","READ",824,211,1562
"P14","C","READ",831,213,1589
"P14","C","READ",842,278,1616
"P14","C","READ",842,173,1743
"P14","C","READ",848,189,1825
"P14","C","READ",862,162,1850
"P14","C","READ",876,237,1877
"P14","C","READ",868,210,1903
"P14","C","READ",880,166,1929
"P14","C","READ",862,229,1956
"P14","C","READ",872,221,1985
"P14","C","READ",856,195,2012
"P14","C","READ",860,228,2039
"P14","C","READ",864,190,2065
"P14","C","READ",873,173,2091
"P14","C","READ",880,190,2117
"P14","C","READ",885,225,2143
"P14","C","READ",867,186,2169
"P14","C","READ",915,190,2195
"P14","C","READ",892,235,2222
"P14","C","READ",905,221,2248
"P14","C","READ",884,212,2274
"P14","C","READ",890,223,2300
"P14","C","READ",880,253,2327
"P14","C","READ",916,232,2353
"P14","C","READ",882,196,2379
"P14","C","READ",912,184,2405
"P14","C","READ",936,262,2431
"P14","C","READ",928,222,2458
"P14","C","READ",955,209,2484
"P14","C","READ",941,232,2511
"P14","C","READ",939,231,2541
"P14","C","READ",930,227,2569
"P14","C","READ",921,219,2596
"P14","C","READ",940,179,2623
"P14","C","READ",915,216,2650
"P14","C","READ",943,242,2678
"P14","C","READ",962,205,2706
"P14","C","READ",939,246,2733
"P14","C","READ",1015,222,2761
"P14","C","READ",975,197,2788
"P14","C","READ",989,211,2816
"P14","C","READ",994,234,2843
"P14","C","READ",1018,274,2871
"P14","C","READ",979,218,2900
"P14","C","READ",972,221,2928
"P14","C","READ",983,225,2957
"P14","C","READ",976,206,2985
"P14","C","READ",1015,227,3013
"P14","C","READ",999,219,3042
"P14","C","READ",862,229,3071
"P14","C","READ",866,205,3103
"P14","C","READ",864,205,3131
"P14","C","READ",835,223,3159
"P14","C","READ",854,254,3187
"P14","C","READ",843,211,3216
"P14","C","READ",821,227,3244
"P14","C","READ",843,194,3272
"P14","C","READ",855,206,3301
"P14","C","READ",880,215,3328
"P14","C","READ",845,222,3356
"P14","C","READ",831,221,3383
"P14","C","READ",848,219,3411
"P14","C","READ",855,218,3438
"P14","C","READ",868,207,3466
"P14","C","READ",864,206,3494
"P14","C","READ",891,222,3521
"P14","C","READ",912,215,3548
"P14","C","READ",884,204,3575
"P14","C","READ",885,188,3602
"P14","C","READ",875,218,3630
"P14","C","READ",868,179,3661
"P14","C","READ",881,164,3689
"P14","C","READ",887,186,3716
"P14","C","READ",973,175,3743
"P14","C","READ",944,195,3771
"P14","C","READ",968,194,3798
"P14","C","READ",936,186,3825
"P14","C","READ",966,177,3852
"P14","C","READ",957,192,3879
"P14","C","READ",958,145,3906
"P14","C","READ",961,194,3933
"P14","C","READ",960,185,3960
"P14","C","READ",991,195,3988
"P14","C","READ",982,215,4015
"P14","C","READ",957,175,4042
"P14","C","READ",954,163,4069
"P14","C","READ",971,220,4097
"P14","C","READ",767,222,4124
"P14","C","READ",814,-222,4152
"P14","C","READ",769,190,4179
"P14","C","READ",794,189,4209
"P14","C","READ",776,180,4237
"P14","C","READ",773,208,4265
"P14","C","READ",786,214,4292
"P14","C","READ",715,191,4319
"P14","C","READ",730,181,4346
"P14","C","READ",728,192,4373
"P14","C","READ",721,196,4401
"P14","C","READ",707,164,4428
"P14","C","READ",743,145,4455
"P14","C","READ",747,164,4482
"P14","C","READ",729,181,4509
"P14","C","READ",808,154,4537
"P14","C","READ",799,193,4565
"P14","C","READ",817,200,4592
"P14","C","READ",809,177,4619
"P14","C","READ",809,171,4647
"P14","C","READ",813,196,4674
"P14","C","READ",828,194,4701
"P14","C","READ",807,189,4729
"P14","C","READ",798,197,4759
"P14","C","READ",794,227,4787
"P14","C","READ",788,198,4815
"P14","C","READ",869,193,4842
"P14","C","READ",841,198,4869
"P14","C","READ",861,202,4896
"P14","C","READ",847,207,4923
"P14","C","READ",845,211,4951
"P14","C","READ",868,184,4978
"P14","C","READ",841,196,5005
"P14","C","READ",857,172,5032
"P14","C","READ",848,184,5060
"P14","C","READ",871,165,5087
"P14","C","READ",844,190,5114
"P14","C","READ",854,200,5141
"P14","C","READ",870,208,5168
