"participant","set","activity","x","y","timestamp"
"P18","C","INTERPRET",205,287,0
"P18","C","INTERPRET",138,298,41
"P18","C","INTERPRET",138,288,83
"P18","C","INTERPRET",148,300,123
"P18","C","INTERPRET",140,297,165
"P18","C","INTERPRET",130,289,206
"P18","C","INTERPRET",130,271,247
"P18","C","INTERPRET",131,277,281
"P18","C","INTERPRET",140,295,317
"P18","C","INTERPRET",140,289,351
"P18","C","INTERPRET",211,400,391
"P18","C","INTERPRET",216,417,432
"P18","C","INTERPRET",225,407,466
"P18","C","INTERPRET",211,402,500
"P18","C","INTERPRET",217,417,534
"P18","C","INTERPRET",226,423,569
"P18","C","INTERPRET",139,165,605
"P18","C","INTERPRET",135,194,640
"P18","C","INTERPRET",133,192,674
"P18","C","INTERPRET",134,202,709
"P18","C","INTERPRET",135,191,743
"P18","C","INTERPRET",129,175,778
"P18","C","INTERPRET",131,169,813
"P18","C","INTERPRET",139,184,849
"P18","C","INTERPRET",124,155,885
"P18","C","INTERPRET",143,182,923
"P18","C","INTERPRET",143,179,962
"P18","C","INTERPRET",155,186,1000
"P18","C","INTERPRET",210,333,1031
"P18","C","INTERPRET",233,392,1061
"P18","C","INTERPRET",249,422,1102
"P18","C","INTERPRET",264,440,1145
"P18","C","INTERPRET",258,424,1188
"P18","C","INTERPRET",269,432,1236
"P18","C","INTERPRET",216,334,1278
"P18","C","INTERPRET",215,315,1314
"P18","C","INTERPRET",199,309,1350
"P18","C","INTERPRET",195,302,1376
"P18","C","INTERPRET",186,282,1404
"P18","C","INTERPRET",193,275,1432
"P18","C","INTERPRET",194,270,1460
"P18","C","INTERPRET",135,180,1479
"P18","C","INTERPRET",82,61,1504
"P18","C","INTERPRET",271,405,6961
"P18","C","INTERPRET",243,412,6992
"P18","C","INTERPRET",272,400,7038
"P18","C","INTERPRET",274,405,7073
"P18","C","INTERPRET",265,389,7105
"P18","C","INTERPRET",259,403,7138
"P18","C","INTERPRET",287,395,7178
"P18","C","INTERPRET",265,392,7218
"P18","C","INTERPRET",261,394,7261
"P18","C","INTERPRET",255,268,7445
"P18","C","INTERPRET",260,255,7476
"P18","C","INTERPRET",253,247,7530
"P18","C","INTERPRET",256,254,7569
"P18","C","INTERPRET",276,248,7608
"P18","C","INTERPRET",285,227,7647
"P18","C","INTERPRET",248,254,7694
"P18","C","INTERPRET",218,232,7743
"P18","C","INTERPRET",207,230,7782
"P18","C","INTERPRET",231,277,7826
"P18","C","INTERPRET",218,312,7869
"P18","C","INTERPRET",726,1334,7955
"P18","C","INTERPRET",160,231,8196
"P18","C","INTERPRET",158,241,8237
"P18","C","INTERPRET",158,246,8319
"P18","C","INTERPRET",148,243,8358
"P18","C","INTERPRET",152,243,8402
"P18","C","INTERPRET",171,229,8443
"P18","C","INTERPRET",193,218,8482
"P18","C","INTERPRET",152,231,8530
"P18","C","INTERPRET",166,232,8570
"P18","C","INTERPRET",131,254,8611
"P18","C","INTERPRET",190,243,8650
"P18","C","INTERPRET",209,238,8697
"P18","C","INTERPRET",179,252,8738
"P18","C","INTERPRET",216,220,8779
"P18","C","INTERPRET",216,220,8819
"P18","C","INTERPRET",185,237,8868
"P18","C","INTERPRET",179,243,8908
"P18","C","INTERPRET",216,229,8948
"P18","C","INTERPRET",226,226,8989
"P18","C","INTERPRET",238,256,9031
"P18","C","INTERPRET",255,247,9071
"P18","C","INTERPRET",244,249,9112
"P18","C","INTERPRET",281,229,9152
"P18","C","INTERPRET",243,260,9192
"P18","C","INTERPRET",266,228,9232
"P18","C","INTERPRET",218,273,9273
"P18","C","INTERPRET",242,250,9313
"P18","C","INTERPRET",240,247,9355
"P18","C","INTERPRET",234,248,9395
"P18","C","INTERPRET",271,237,9437
"P18","C","INTERPRET",229,269,9478
"P18","C","INTERPRET",219,267,9519
"P18","C","INTERPRET",240,241,9561
"P18","C","INTERPRET",277,224,9601
"P18","C","INTERPRET",240,250,9641
"P18","C","INTERPRET",265,237,9682
"P18","C","INTERPRET",193,243,9721
"P18","C","INTERPRET",192,235,9761
"P18","C","INTERPRET",197,240,9800
"P18","C","INTERPRET",231,234,9840
"P18","C","INTERPRET",228,227,9881
"P18","C","INTERPRET",232,224,9922
"P18","C","INTERPRET",199,238,9961
"P18","C","INTERPRET",212,224,10004
"P18","C","INTERPRET",186,238,10047
"P18","C","INTERPRET",188,234,10087
"P18","C","INTERPRET",209,222,10129
"P18","C","INTERPRET",220,225,10170
"P18","C","INTERPRET",201,232,10211
"P18","C","INTERPRET",203,232,10251
"P18","C","INTERPRET",238,209,10291
"P18","C","INTERPRET",221,230,10332
"P18","C","INTERPRET",235,232,10372
"P18","C","INTERPRET",205,233,10415
"P18","C","INTERPRET",230,203,10456
"P18","C","INTERPRET",220,205,10497
"P18","C","INTERPRET",213,208,10538
"P18","C","INTERPRET",178,220,10580
"P18","C","INTERPRET",138,46,10621
"P18","C","INTERPRET",133,65,10661
"P18","C","INTERPRET",116,83,10702
"P18","C","INTERPRET",103,89,10746
"P18","C","INTERPRET",103,79,10785
"P18","C","INTERPRET",107,78,10825
"P18","C","INTERPRET",136,74,10863
"P18","C","INTERPRET",143,57,10903
"P18","C","INTERPRET",136,77,10941
"P18","C","INTERPRET",105,88,10982
"P18","C","INTERPRET",109,69,11021
"P18","C","INTERPRET",137,60,11060
"P18","C","INTERPRET",115,84,11099
"P18","C","INTERPRET",147,53,11141
"P18","C","INTERPRET",135,73,11181
"P18","C","INTERPRET",106,81,11220
"P18","C","INTERPRET",108,89,11260
"P18","C","INTERPRET",139,69,11301
"P18","C","INTERPRET",165,161,11340
"P18","C","INTERPRET",152,172,11380
"P18","C","INTERPRET",157,173,11422
"P18","C","INTERPRET",168,172,11463
"P18","C","INTERPRET",191,163,11502
"P18","C","INTERPRET",188,165,11542
"P18","C","INTERPRET",220,252,11581
"P18","C","INTERPRET",259,237,11622
"P18","C","INTERPRET",239,242,11660
"P18","C","INTERPRET",244,231,11702
"P18","C","INTERPRET",242,238,11743
"P18","C","INTERPRET",262,238,11783
"P18","C","INTERPRET",248,246,11822
"P18","C","INTERPRET",241,238,11865
"P18","C","INTERPRET",239,246,11905
"P18","C","INTERPRET",233,207,11946
"P18","C","INTERPRET",242,210,11985
"P18","C","INTERPRET",239,225,12026
"P18","C","INTERPRET",208,229,12065
"P18","C","INTERPRET",242,217,12109
"P18","C","INTERPRET",209,233,12151
"P18","C","INTERPRET",241,216,12192
"P18","C","INTERPRET",205,235,12231
"P18","C","INTERPRET",255,231,12276
"P18","C","INTERPRET",221,233,12320
"P18","C","INTERPRET",215,239,12360
"P18","C","INTERPRET",194,261,12399
"P18","C","INTERPRET",243,233,12444
"P18","C","INTERPRET",232,229,12487
"P18","C","INTERPRET",249,231,12527
"P18","C","INTERPRET",258,218,12566
"P18","C","INTERPRET",219,240,12609
"P18","C","INTERPRET",256,226,12652
"P18","C","INTERPRET",229,225,12693
"P18","C","INTERPRET",224,234,12734
"P18","C","INTERPRET",234,239,12775
"P18","C","INTERPRET",231,243,12818
"P18","C","INTERPRET",226,237,12861
"P18","C","INTERPRET",259,242,12902
"P18","C","INTERPRET",284,235,12945
"P18","C","INTERPRET",251,251,12988
"P18","C","INTERPRET",249,250,13031
"P18","C","INTERPRET",244,250,13071
"P18","C","INTERPRET",251,254,13114
"P18","C","INTERPRET",242,252,13157
"P18","C","INTERPRET",274,230,13197
"P18","C","INTERPRET",241,243,13236
"P18","C","INTERPRET",271,228,13280
"P18","C","INTERPRET",220,269,13322
"P18","C","INTERPRET",278,229,13362
"P18","C","INTERPRET",276,235,13404
"P18","C","INTERPRET",245,248,13450
"P18","C","INTERPRET",284,237,13493
"P18","C","INTERPRET",276,242,13533
"P18","C","INTERPRET",277,238,13573
"P18","C","INTERPRET",175,209,13618
"P18","C","INTERPRET",167,222,13661
"P18","C","INTERPRET",183,210,13702
"P18","C","INTERPRET",131,227,13742
"P18","C","INTERPRET",170,203,13795
"P18","C","INTERPRET",94,94,13839
"P18","C","INTERPRET",99,98,13880
"P18","C","INTERPRET",107,78,13919
"P18","C","INTERPRET",101,81,13963
"P18","C","INTERPRET",264,266,14007
"P18","C","INTERPRET",293,258,14047
"P18","C","INTERPRET",260,266,14087
"P18","C","INTERPRET",262,267,14126
"P18","C","INTERPRET",257,260,14166
"P18","C","INTERPRET",241,253,14207
"P18","C","INTERPRET",237,260,14246
"P18","C","INTERPRET",242,260,14297
"P18","C","INTERPRET",274,237,14343
"P18","C","INTERPRET",281,236,14383
"P18","C","INTERPRET",233,262,14423
"P18","C","INTERPRET",273,237,14472
"P18","C","INTERPRET",237,252,14519
"P18","C","INTERPRET",253,232,14561
"P18","C","INTERPRET",230,223,14601
"P18","C","INTERPRET",213,224,14659
"P18","C","INTERPRET",225,229,14713
"P18","C","INTERPRET",230,251,14755
"P18","C","INTERPRET",299,248,14795
