participant,set,activity,x,y,timestamp
P20,A,DEBUG,1015,534,0
P20,A,DEBUG,984,546,32
P20,A,DEBUG,639,532,59
P20,A,DEBUG,406,562,86
P20,A,DEBUG,386,527,115
P20,A,DEBUG,391,529,143
P20,A,DEBUG,393,524,171
P20,A,DEBUG,393,538,198
P20,A,DEBUG,371,485,226
P20,A,DEBUG,379,492,253
P20,A,DEBUG,371,507,280
P20,A,DEBUG,391,525,307
P20,A,DEBUG,398,538,334
P20,A,DEBUG,379,524,361
P20,A,DEBUG,379,526,388
P20,A,DEBUG,383,539,416
P20,A,DEBUG,381,522,442
P20,A,DEBUG,317,516,469
P20,A,DEBUG,285,548,497
P20,A,DEBUG,268,536,524
P20,A,DEBUG,263,545,553
P20,A,DEBUG,257,535,580
P20,A,DEBUG,262,514,607
P20,A,DEBUG,266,522,634
P20,A,DEBUG,265,546,661
P20,A,DEBUG,263,534,687
P20,A,DEBUG,275,532,714
P20,A,DEBUG,282,563,742
P20,A,DEBUG,282,557,768
P20,A,DEBUG,246,495,795
P20,A,DEBUG,265,508,823
P20,A,DEBUG,233,461,850
P20,A,DEBUG,251,522,877
P20,A,DEBUG,250,496,904
P20,A,DEBUG,243,473,930
P20,A,DEBUG,227,484,958
P20,A,DEBUG,262,511,984
P20,A,DEBUG,253,494,1011
P20,A,DEBUG,239,507,1038
P20,A,DEBUG,244,526,1065
P20,A,DEBUG,261,491,1093
P20,A,DEBUG,244,506,1121
P20,A,DEBUG,236,478,1147
P20,A,DEBUG,228,458,1174
P20,A,DEBUG,237,467,1201
P20,A,DEBUG,257,476,1228
P20,A,DEBUG,215,461,1255
P20,A,DEBUG,248,487,1282
P20,A,DEBUG,251,489,1309
P20,A,DEBUG,239,491,1336
P20,A,DEBUG,256,488,1362
P20,A,DEBUG,247,494,1389
P20,A,DEBUG,246,493,1416
P20,A,DEBUG,267,481,1442
P20,A,DEBUG,29,643,1571
P20,A,DEBUG,198,351,1617
P20,A,DEBUG,186,635,1676
P20,A,DEBUG,186,763,1701
P20,A,DEBUG,214,749,1728
P20,A,DEBUG,190,750,1756
P20,A,DEBUG,200,749,1783
P20,A,DEBUG,207,758,1811
P20,A,DEBUG,212,765,1838
P20,A,DEBUG,208,742,1866
P20,A,DEBUG,223,760,1893
P20,A,DEBUG,203,743,1921
P20,A,DEBUG,176,736,1949
P20,A,DEBUG,173,744,1976
P20,A,DEBUG,207,740,2004
P20,A,DEBUG,193,747,2032
P20,A,DEBUG,181,756,2060
P20,A,DEBUG,303,607,2087
P20,A,DEBUG,331,431,2115
P20,A,DEBUG,336,430,2142
P20,A,DEBUG,347,426,2170
P20,A,DEBUG,357,423,2200
P20,A,DEBUG,312,404,2229
P20,A,DEBUG,327,407,2257
P20,A,DEBUG,341,433,2285
P20,A,DEBUG,331,403,2313
P20,A,DEBUG,344,398,2342
P20,A,DEBUG,336,407,2370
P20,A,DEBUG,334,379,2398
P20,A,DEBUG,333,416,2426
P20,A,DEBUG,278,363,2747
P20,A,DEBUG,281,379,2771
P20,A,DEBUG,309,496,2804
P20,A,DEBUG,308,510,2831
P20,A,DEBUG,329,506,2859
P20,A,DEBUG,321,503,2887
P20,A,DEBUG,311,537,2915
P20,A,DEBUG,307,509,2943
P20,A,DEBUG,294,547,2971
P20,A,DEBUG,315,538,2998
P20,A,DEBUG,412,602,3026
P20,A,DEBUG,400,550,3054
P20,A,DEBUG,408,572,3082
P20,A,DEBUG,419,610,3111
P20,A,DEBUG,400,593,3139
P20,A,DEBUG,431,579,3167
