participant,set,activity,x,y,timestamp
P20,A,READ,935,-100,0
P20,A,READ,965,-39,22
P20,A,READ,971,-56,60
P20,A,READ,979,-53,90
P20,A,READ,972,-69,122
P20,A,READ,993,-11,156
P20,A,READ,903,397,188
P20,A,READ,914,402,221
P20,A,READ,906,414,247
P20,A,READ,893,445,273
P20,A,READ,890,418,300
P20,A,READ,891,397,328
P20,A,READ,885,392,357
P20,A,READ,896,407,387
P20,A,READ,889,427,416
P20,A,READ,902,416,446
P20,A,READ,888,390,476
P20,A,READ,896,428,507
P20,A,READ,762,138,1343
P20,A,READ,760,141,1373
P20,A,READ,764,149,1409
P20,A,READ,767,152,1437
P20,A,READ,764,131,1465
P20,A,READ,763,149,1490
P20,A,READ,763,137,1516
P20,A,READ,778,155,1542
P20,A,READ,774,101,1568
P20,A,READ,709,139,1594
P20,A,READ,686,138,1621
P20,A,READ,689,143,1648
P20,A,READ,699,101,1673
P20,A,READ,716,161,1700
P20,A,READ,702,132,1726
P20,A,READ,706,145,1752
P20,A,READ,693,135,1778
P20,A,READ,690,118,1803
P20,A,READ,708,118,1828
P20,A,READ,684,124,1878
P20,A,READ,699,142,1903
P20,A,READ,710,179,1935
P20,A,READ,730,426,1961
P20,A,READ,747,495,1987
P20,A,READ,744,485,2014
P20,A,READ,747,481,2040
P20,A,READ,748,471,2066
P20,A,READ,739,470,2093
P20,A,READ,736,499,2119
P20,A,READ,736,478,2145
P20,A,READ,721,482,2174
P20,A,READ,734,484,2201
P20,A,READ,738,475,2228
P20,A,READ,730,456,2255
P20,A,READ,729,463,2283
P20,A,READ,737,486,2310
P20,A,READ,741,480,2336
P20,A,READ,741,475,2363
P20,A,READ,719,426,2390
P20,A,READ,736,429,2417
P20,A,READ,726,428,2444
P20,A,READ,727,422,2471
P20,A,READ,728,403,2498
P20,A,READ,729,415,2524
P20,A,READ,735,424,2550
P20,A,READ,729,444,2575
P20,A,READ,749,460,2600
P20,A,READ,731,430,2624
P20,A,READ,727,428,2650
P20,A,READ,735,433,2675
P20,A,READ,743,422,2700
P20,A,READ,749,377,2726
P20,A,READ,731,400,2753
P20,A,READ,734,375,2780
P20,A,READ,739,383,2806
P20,A,READ,732,379,2833
P20,A,READ,715,371,2860
P20,A,READ,728,375,2886
P20,A,READ,730,372,2912
P20,A,READ,808,407,2938
P20,A,READ,782,394,2965
P20,A,READ,760,357,2991
P20,A,READ,762,337,3018
P20,A,READ,777,371,3043
P20,A,READ,784,339,3069
P20,A,READ,786,377,3094
P20,A,READ,793,373,3119
P20,A,READ,827,303,3144
P20,A,READ,829,264,3169
P20,A,READ,800,215,3195
P20,A,READ,800,235,3220
P20,A,READ,807,237,3245
P20,A,READ,803,244,3271
P20,A,READ,802,218,3296
P20,A,READ,712,121,3322
P20,A,READ,693,159,3348
P20,A,READ,711,140,3374
P20,A,READ,710,144,3401
P20,A,READ,696,170,3429
P20,A,READ,692,158,3458
P20,A,READ,685,139,3496
P20,A,READ,682,119,3535
P20,A,READ,651,52,3575
P20,A,READ,693,129,3615
P20,A,READ,617,174,3694
P20,A,READ,770,147,3889
P20,A,READ,740,191,3917
P20,A,READ,738,130,3943
P20,A,READ,769,157,3970
P20,A,READ,750,159,3999
P20,A,READ,751,122,4028
P20,A,READ,725,121,4058
P20,A,READ,757,136,4089
P20,A,READ,759,166,4120
P20,A,READ,898,179,4224
P20,A,READ,731,194,4264
P20,A,READ,724,160,4304
P20,A,READ,742,210,4325
P20,A,READ,722,192,4350
P20,A,READ,732,217,4376
P20,A,READ,807,206,4561
P20,A,READ,777,101,4725
P20,A,READ,1005,243,4903
P20,A,READ,1018,267,4962
P20,A,READ,1037,306,5003
P20,A,READ,1016,222,5030
P20,A,READ,1019,254,5055
P20,A,READ,1013,241,5080
