"participant","set","activity","x","y","timestamp"
"P21","C","SEARCH",729,-12,0
"P21","C","SEARCH",738,-3,28
"P21","C","SEARCH",730,-9,56
"P21","C","SEARCH",732,-13,84
"P21","C","SEARCH",731,-16,117
"P21","C","SEARCH",722,-14,147
"P21","C","SEARCH",720,-15,176
"P21","C","SEARCH",717,-16,207
"P21","C","SEARCH",806,-1,236
"P21","C","SEARCH",821,-14,265
"P21","C","SEARCH",815,-8,294
"P21","C","SEARCH",812,-7,323
"P21","C","SEARCH",808,3,352
"P21","C","SEARCH",811,-7,381
"P21","C","SEARCH",816,-5,410
"P21","C","SEARCH",818,-5,440
"P21","C","SEARCH",817,-7,469
"P21","C","SEARCH",822,-10,498
"P21","C","SEARCH",811,-3,526
"P21","C","SEARCH",817,1,556
"P21","C","SEARCH",814,-3,584
"P21","C","SEARCH",819,-5,613
"P21","C","SEARCH",823,-3,642
"P21","C","SEARCH",812,-8,671
"P21","C","SEARCH",818,-2,703
"P21","C","SEARCH",815,1,733
"P21","C","SEARCH",815,-14,764
"P21","C","SEARCH",814,-1,794
"P21","C","SEARCH",813,-11,822
"P21","C","SEARCH",867,16,851
"P21","C","SEARCH",897,-8,880
"P21","C","SEARCH",896,-14,906
"P21","C","SEARCH",890,2,934
"P21","C","SEARCH",897,-13,963
"P21","C","SEARCH",901,-5,991
"P21","C","SEARCH",891,-9,1020
"P21","C","SEARCH",897,0,1050
"P21","C","SEARCH",899,-15,1080
"P21","C","SEARCH",918,-15,1110
"P21","C","SEARCH",914,-10,1140
"P21","C","SEARCH",917,-3,1169
"P21","C","SEARCH",917,-6,1199
"P21","C","SEARCH",922,-3,1229
"P21","C","SEARCH",921,-7,1258
"P21","C","SEARCH",912,-22,1288
"P21","C","SEARCH",906,5,1319
"P21","C","SEARCH",900,-14,1350
"P21","C","SEARCH",907,-11,1379
"P21","C","SEARCH",909,-17,1409
"P21","C","SEARCH",905,-3,1438
"P21","C","SEARCH",908,-8,1468
"P21","C","SEARCH",912,-19,1498
"P21","C","SEARCH",908,-10,1527
"P21","C","SEARCH",911,-3,1557
"P21","C","SEARCH",905,-8,1586
"P21","C","SEARCH",905,-16,1616
"P21","C","SEARCH",904,-14,1645
"P21","C","SEARCH",898,-9,1674
"P21","C","SEARCH",915,-24,1703
"P21","C","SEARCH",917,-18,1732
"P21","C","SEARCH",901,-24,1762
"P21","C","SEARCH",908,-9,1791
"P21","C","SEARCH",915,-15,1821
"P21","C","SEARCH",903,-8,1849
"P21","C","SEARCH",907,-12,1881
"P21","C","SEARCH",902,-16,1910
"P21","C","SEARCH",906,-11,1940
"P21","C","SEARCH",911,-4,1969
"P21","C","SEARCH",912,-22,1998
"P21","C","SEARCH",904,-19,2027
"P21","C","SEARCH",903,1,2055
"P21","C","SEARCH",907,-18,2085
"P21","C","SEARCH",903,-19,2115
"P21","C","SEARCH",904,-21,2143
"P21","C","SEARCH",914,-19,2172
"P21","C","SEARCH",906,-7,2201
"P21","C","SEARCH",963,-23,2231
"P21","C","SEARCH",965,-10,2260
"P21","C","SEARCH",966,-25,2290
"P21","C","SEARCH",964,-24,2320
"P21","C","SEARCH",965,-24,2349
"P21","C","SEARCH",971,-22,2379
"P21","C","SEARCH",969,-22,2408
"P21","C","SEARCH",963,-15,2440
"P21","C","SEARCH",963,-24,2469
"P21","C","SEARCH",970,-22,2499
"P21","C","SEARCH",965,-14,2529
"P21","C","SEARCH",967,-19,2558
"P21","C","SEARCH",1042,168,2587
"P21","C","SEARCH",1067,391,2616
"P21","C","SEARCH",1065,369,2646
"P21","C","SEARCH",1077,396,2676
"P21","C","SEARCH",1068,388,2706
"P21","C","SEARCH",1067,386,2736
"P21","C","SEARCH",1067,379,2766
"P21","C","SEARCH",1068,390,2797
"P21","C","SEARCH",1068,397,2827
"P21","C","SEARCH",1329,408,2857
"P21","C","SEARCH",1392,402,2887
"P21","C","SEARCH",1367,397,2919
"P21","C","SEARCH",1376,412,2950
"P21","C","SEARCH",1269,334,2983
"P21","C","SEARCH",987,181,3012
"P21","C","SEARCH",956,177,3042
"P21","C","SEARCH",942,194,3073
"P21","C","SEARCH",951,180,3102
"P21","C","SEARCH",947,170,3132
"P21","C","SEARCH",949,186,3162
"P21","C","SEARCH",945,166,3192
"P21","C","SEARCH",944,181,3221
"P21","C","SEARCH",957,174,3251
"P21","C","SEARCH",957,190,3279
"P21","C","SEARCH",946,163,3309
"P21","C","SEARCH",949,164,3337
"P21","C","SEARCH",949,170,3366
"P21","C","SEARCH",941,164,3395
"P21","C","SEARCH",954,165,3424
"P21","C","SEARCH",955,177,3454
"P21","C","SEARCH",953,173,3482
"P21","C","SEARCH",950,183,3512
"P21","C","SEARCH",942,185,3542
"P21","C","SEARCH",915,-5,3571
"P21","C","SEARCH",903,14,3625
"P21","C","SEARCH",902,8,3650
"P21","C","SEARCH",913,-21,3676
"P21","C","SEARCH",909,-9,3705
"P21","C","SEARCH",904,-4,3730
"P21","C","SEARCH",900,8,3783
"P21","C","SEARCH",913,-3,3808
"P21","C","SEARCH",903,18,3835
"P21","C","SEARCH",908,0,3863
"P21","C","SEARCH",902,20,3892
"P21","C","SEARCH",904,12,3920
"P21","C","SEARCH",910,20,3949
"P21","C","SEARCH",911,8,3977
"P21","C","SEARCH",908,24,4006
"P21","C","SEARCH",918,-20,4034
"P21","C","SEARCH",917,-2,4063
"P21","C","SEARCH",904,16,4113
"P21","C","SEARCH",916,3,4138
"P21","C","SEARCH",902,-1,4165
"P21","C","SEARCH",902,18,4193
"P21","C","SEARCH",895,79,4222
"P21","C","SEARCH",920,-53,4341
"P21","C","SEARCH",898,-73,4385
"P21","C","SEARCH",906,-19,4454
"P21","C","SEARCH",896,-16,4480
"P21","C","SEARCH",904,-26,4511
"P21","C","SEARCH",907,-6,4540
"P21","C","SEARCH",887,-12,4569
"P21","C","SEARCH",901,-4,4598
"P21","C","SEARCH",894,-7,4629
"P21","C","SEARCH",903,-1,4660
"P21","C","SEARCH",895,-10,4689
"P21","C","SEARCH",887,-12,4719
"P21","C","SEARCH",890,-20,4749
"P21","C","SEARCH",896,-8,4778
"P21","C","SEARCH",903,-7,4808
"P21","C","SEARCH",896,-7,4838
"P21","C","SEARCH",897,-1,4868
"P21","C","SEARCH",899,-1,4897
"P21","C","SEARCH",896,-20,4927
"P21","C","SEARCH",894,-5,4957
"P21","C","SEARCH",900,-2,4987
"P21","C","SEARCH",939,-19,5017
