"participant","set","activity","x","y","timestamp"
"P24","B","BROWSE",32,1131,0
"P24","B","BROWSE",32,1123,32
"P24","B","BROWSE",40,1104,64
"P24","B","BROWSE",38,1116,95
"P24","B","BROWSE",26,1108,127
"P24","B","BROWSE",49,1112,160
"P24","B","BROWSE",32,1119,193
"P24","B","BROWSE",18,1123,231
"P24","B","BROWSE",52,1114,265
"P24","B","BROWSE",40,1124,298
"P24","B","BROWSE",32,1127,331
"P24","B","BROWSE",41,1127,363
"P24","B","BROWSE",45,1119,395
"P24","B","BROWSE",45,1143,428
"P24","B","BROWSE",33,1115,459
"P24","B","BROWSE",34,1127,491
"P24","B","BROWSE",30,1106,524
"P24","B","BROWSE",35,1119,558
"P24","B","BROWSE",33,1130,591
"P24","B","BROWSE",32,1107,623
"P24","B","BROWSE",28,1115,657
"P24","B","BROWSE",44,1113,689
"P24","B","BROWSE",33,1107,722
"P24","B","BROWSE",35,1110,755
"P24","B","BROWSE",29,1104,793
"P24","B","BROWSE",33,1107,828
"P24","B","BROWSE",52,1118,860
"P24","B","BROWSE",33,1109,893
"P24","B","BROWSE",56,1106,926
"P24","B","BROWSE",30,1115,958
"P24","B","BROWSE",43,1121,991
"P24","B","BROWSE",43,1113,1024
"P24","B","BROWSE",40,1097,1057
"P24","B","BROWSE",49,1127,1090
"P24","B","BROWSE",455,762,1123
"P24","B","BROWSE",861,337,1318
"P24","B","BROWSE",848,320,1445
"P24","B","BROWSE",859,319,1466
"P24","B","BROWSE",884,438,1505
"P24","B","BROWSE",912,549,1535
"P24","B","BROWSE",941,520,1565
"P24","B","BROWSE",873,539,1594
"P24","B","BROWSE",867,588,1624
"P24","B","BROWSE",915,482,1656
"P24","B","BROWSE",905,533,1687
"P24","B","BROWSE",847,528,1720
"P24","B","BROWSE",864,749,1752
"P24","B","BROWSE",899,463,1783
"P24","B","BROWSE",698,343,1811
"P24","B","BROWSE",753,1328,1840
"P24","B","BROWSE",384,-23,1893
"P24","B","BROWSE",333,-16,1919
"P24","B","BROWSE",375,-15,1952
"P24","B","BROWSE",380,-11,1983
"P24","B","BROWSE",306,-28,2011
"P24","B","BROWSE",382,-29,2038
"P24","B","BROWSE",354,-20,2065
"P24","B","BROWSE",411,-37,2092
"P24","B","BROWSE",306,4,2124
"P24","B","BROWSE",330,-37,2151
"P24","B","BROWSE",307,-9,2184
"P24","B","BROWSE",316,-4,2212
"P24","B","BROWSE",345,-20,2246
"P24","B","BROWSE",216,-12,2273
"P24","B","BROWSE",272,-51,2301
"P24","B","BROWSE",293,-55,2333
"P24","B","BROWSE",268,-29,2365
"P24","B","BROWSE",200,10,2392
"P24","B","BROWSE",311,78,2419
"P24","B","BROWSE",805,241,2451
"P24","B","BROWSE",866,242,2481
"P24","B","BROWSE",851,238,2515
"P24","B","BROWSE",870,262,2546
"P24","B","BROWSE",864,257,2575
"P24","B","BROWSE",865,241,2604
"P24","B","BROWSE",857,234,2632
"P24","B","BROWSE",854,248,2662
"P24","B","BROWSE",871,240,2691
"P24","B","BROWSE",880,240,2720
"P24","B","BROWSE",868,251,2749
"P24","B","BROWSE",865,251,2779
"P24","B","BROWSE",846,248,2808
"P24","B","BROWSE",689,718,2837
"P24","B","BROWSE",516,1008,2867
"P24","B","BROWSE",495,1035,2896
"P24","B","BROWSE",499,1010,2926
"P24","B","BROWSE",517,1018,2955
"P24","B","BROWSE",464,990,2985
"P24","B","BROWSE",476,994,3014
"P24","B","BROWSE",517,1017,3044
"P24","B","BROWSE",491,1017,3078
"P24","B","BROWSE",500,1007,3109
"P24","B","BROWSE",597,1074,3138
"P24","B","BROWSE",606,1007,3168
"P24","B","BROWSE",612,1017,3197
"P24","B","BROWSE",640,1050,3227
"P24","B","BROWSE",627,1020,3257
"P24","B","BROWSE",637,1032,3298
"P24","B","BROWSE",625,1040,3339
"P24","B","BROWSE",641,1025,3379
"P24","B","BROWSE",643,1022,3420
"P24","B","BROWSE",633,1027,3460
"P24","B","BROWSE",1225,1065,3500
"P24","B","BROWSE",1263,1065,3541
"P24","B","BROWSE",1305,1049,3574
"P24","B","BROWSE",1361,1023,3607
"P24","B","BROWSE",1319,1020,3645
"P24","B","BROWSE",1240,1069,3685
"P24","B","BROWSE",1250,1048,3725
"P24","B","BROWSE",1245,1078,3764
"P24","B","BROWSE",1251,1075,3804
"P24","B","BROWSE",1229,1083,3844
"P24","B","BROWSE",1346,1032,3883
"P24","B","BROWSE",1292,1124,3923
"P24","B","BROWSE",1334,1102,3962
"P24","B","BROWSE",1376,1013,4004
"P24","B","BROWSE",1391,1015,4046
"P24","B","BROWSE",1385,1013,4075
"P24","B","BROWSE",1367,1044,4104
"P24","B","BROWSE",1382,1012,4133
"P24","B","BROWSE",1371,1003,4162
"P24","B","BROWSE",1372,1019,4192
"P24","B","BROWSE",1415,1017,4226
"P24","B","BROWSE",1372,1015,4256
"P24","B","BROWSE",1374,1021,4285
"P24","B","BROWSE",1394,1037,4314
"P24","B","BROWSE",1376,1013,4343
"P24","B","BROWSE",1397,1021,4372
"P24","B","BROWSE",1377,1016,4401
"P24","B","BROWSE",1398,995,4430
"P24","B","BROWSE",1394,1034,4459
"P24","B","BROWSE",1391,1049,4488
"P24","B","BROWSE",1404,1041,4517
"P24","B","BROWSE",1394,1036,4546
"P24","B","BROWSE",1419,1018,4575
"P24","B","BROWSE",1389,1022,4604
"P24","B","BROWSE",1381,1030,4633
"P24","B","BROWSE",1402,1016,4661
